CKG_NM,CKG_MTH_ACTO_NM,CKG_MTRL_CN
북어갈비,굽기, 북어포 찹쌀가루 간장 설탕 물 다진파 다진마늘 참기름 깨소금 후춧가루 
스팸오이식빵롤,굽기, 식빵 스팸 오이 체다치즈 머스터드 피클 마요네즈
호두가래떡구이,굽기, 가래떡 호두 정도 깨 꿀 
미니새우버거,굽기, 모닝빵 새우 상추 토마토 피클 마요네즈 패티 다진양파 빵가루 밀가루 계란 소금 후추
고구마그라탕,굽기, 고구마 으깬것 생크림 설탕 버터 아몬드슬라이스 모짜렐라치즈 커스타드크림 우유 박력분 노른자 설탕 바닐라오일 버터 
밤식빵,굽기, 국내산 제빵용 쌀가루 계란 우유 인스턴트 드라이 이스트 소금 버터 설탕 밤조림 아몬드 슬라이스 쿠키반죽 버터 설탕 노른자 박력분 바닐라오일 
고구마보트,굽기, 고구마 생크림 버터 커스타드크림 설탕 소금 소금 설탕 
포테이토스킨,굽기, 감자 올리브유 베이컨 모짜렐라치즈 파슬리 소금 
단호박사블레,굽기, 박력분 단호박가루 버터 슈가파우더 호박씨 바닐라오일 계란흰자 설탕 
뮈슬리초코칩쿠키,굽기, 박력분 버터 베이킹 파우더 베이킹 소다 계란 설탕 초코칩 유기농 초코 뮈슬리 
아몬드타르트,굽기,타르트지 버터 박력분 소금 설탕 계란 아몬드크림 버터 크림치즈 설탕 생크림 계란 아몬드가루 코코넛가루 바닐라 오일 럼주 견과류 
파네토네,굽기, 강력분 우유 인스턴드 드라이 이스트 소금 설탕 레몬즙 버터 계란 꿀 각종 당절임 과일 럼주 정도 토핑용 버터 
밤머핀,굽기, 박력분 버터 설탕 밤페이스트 장식용 밤조림 베이킹파우더 계란 우유 밤조림 바닐라오일 
바나나프렌치토스트,굽기, 브리오슈슬라이스 두툼하게 바나나 계란 우유 버터 베이컨 좋아하는 과일 소금 시럽 슈거파우더 
단호박해물치즈구이,굽기, 단호박 작은크기 낙지 작은크기 모듬해물 칵테일 새우 양파 작은크기 파프리카 대파 떡볶이떡 피자피즈 장 고추장 고춧가루 굴소스 다진마늘 후춧가루 설탕 요리당 
갸토쇼콜라,굽기, 박력분 코코아가루 다크초콜릿 버터 달걀 설탕 생크림 데코레이션 슈가파우더 생크림
포카치아,굽기, 강력분 설탕 소금 몰트 양파 중간것 올리브 이상 올리브유 물 드라이이스트 올리브유 
흑미와플,굽기, 흑미가루 노른자 설탕 소금 바닐라오일 베이킹 파우더 우유 버터 흰자 설탕 
오븐웨지감자,굽기, 감자 중간것 올리브유 소금 후춧가루 파슬리가루 다진마늘 소스 사워크림 케첩 살사소스 치즈소스
대추스콘,굽기, 강력분 박력분 설탕 소금 베이킹 파우더 버터 건포도 달갈 우유 대추야자 씨뺀것 계란물 
모카머핀,굽기, 박력분 버터 설탕 베이킹파우더 계란 우유 초코칩 커피액기스 소금 
버섯포카치아,굽기, 박력분 물 말린표고버섯 이스트 설탕 소금 간장 참기름 올리브오일 
파니니,굽기, 강력분 몰트 인스턴트 드라이이스트 카놀라유 라이트 미지근한 물 소금 설탕 
파니니,굽기, 파니니 불고기 한것 닭가슴살 양상추 또는 로메인 토마토 중간것 양파 중간것 치즈 달걀 슬라이스햄 피클다진것 머스터드소스 마요네즈 버터 올리브유 시즈닝솔트
레몬생크림케이크,굽기, 생크림 박력분 설탕 베이킹파우더 계란 포피씨드 레몬필 유자청 
시나몬큐브,굽기, 박력분 버터 바닐라오일 아몬드파우더 소금 슈가파우더 베이킹파우더 시나몬파우더 장식용 슈가파우더 
초코바나나머핀,굽기, 바나나 으깬것 토핑용 바나나 버터 설탕 박력분 코코아가루 초코칩 베이킹 파우더 베이킹소다 생크림 바닐라오일 
애호박사워크림케이크,굽기, 박력분 버터 계란 설탕 애호박 우유 사워크림 베이킹 파우더 소금 바닐라오일 스트로이젤 박력 버터 설탕 
브라우니,굽기, 다크커버춰 버터 박력분 코코아 흑설탕 계란 인스턴트 커피 깔루아 견과류 
피낭시에,굽기, 백미가루 아몬드가루 슈가파우더 베이킹 파우더 바닐라가루 계란 흰자 트리몰린 버터 
그린티현미쉬폰,굽기, 현미가루 노른자 설탕 우유 또는 물 말차가루 포피시드 흰자 설탕 카놀라유 또는 녹인버터 
불닭퀘사디아,굽기, 닭가슴살 각종 야채 또띠아 홍피망 청피망 양파 청량고추 또띠아 스위트콘 올리브유 피자치즈 넉넉히 또띠아 칠리소스 야채 밑간 시즈닝솔트 굴소스 불닭 고추장 고춧가루 고추기름 후춧가루 칠리소스 다진마늘 굴소스 설탕 닭 밑간 청주 시즈닝솔트 생강즙 
계란빵,굽기, 핫케이크가루 우유 슬라이스치즈 파슬리가루 달걀 메추리알 마요네즈 소금 후추 설탕
시나몬롤,굽기, 루프 유기농 통밀브레드믹스 우유 카놀라유 시나몬롤 아이싱 크림치즈 버터 슈가파우더 바닐라오일 시나몬롤 필링 황설탕 또는 흑설탕 시나몬가루 땅콩분태 
식빵꽃,굽기, 강력분 박력분 우유 물 설탕 버터 인스턴트이스트 소금 녹차가루 따듯한물 적고구마 딸기쥬스가루 물 
쇼콜라케이크,굽기, 초콜렛 버터 박력분 코코아파우더 노른자 설탕 생크림 오렌지술 오렌지제스트 다크초코렛 건조딸기 피스타치오 머랭 흰자 설탕 
닭고기샌드위치,굽기, 닭고기안심살 베이비채소 파프리카 식빵 식빵 소스 허브솔트 올리브유 머스터드 꿀 바베큐소스 샐러드 드레싱 올리브오일 식초 꿀 소금 후추 오렌지쥬스 
바나나머핀,굽기, 바나나 작은것 버터 박력분 설탕 계란 베이킹파우더 물엿 꿀 캬라멜소스 럼주 코코넛 슬라이스 캬라멜 설탕 물 
카야쨈호떡,굽기, 호떡믹스 카야잼 피칸
초콜렛치즈머핀,굽기, 초코머핀믹스 카놀라유 계란 흰자 크림치즈 치즈토핑크림 노른자 슈가 파우더 크림치즈 
두부치즈케익,굽기, 두부 크림치즈 생크림 다이제쿠키 버터 계란노른자 설탕 레몬즙 오렌지술 오렌지액 박력분 머랭 흰자 설탕 콩조림 물 설탕 콩 
크로켓,굽기, 디츠다짐 두부 각종야채 녹말가루 계란 빵가루 녹말가루 포도씨유 소금 후추 
초코칩케이크,굽기, 루프 유기농 초코칩 파운드 믹스 계란 카놀라유 버터 
멀티그레인곡물빵,굽기, 루프 멀티그레인 믹스 물 올리브유 
와플,굽기, 핫케이크믹스 우유 계란 생딸기 메이플시럽 취향껏 휘핑크림 취향껏
홈런볼,굽기, 버터 물 우유 설탕 소금 중력분 달걀 생크림 초콜릿 꿀 
생크림케이크,굽기,제노와즈 계란 설탕 박력분 버터 바닐라액 오렌지술 생크림 설탕 장식 벚꽃절임 피스타치오 컬러슈가 오렌지시럽 오렌지 설탕 물 오렌지술 
까망베르치즈케이크,굽기, 까망베르치즈 생크림 계란노른자 설탕 박력분 레몬즙 오렌지술 오렌지액 제노아즈 장식 슈가파우더 견과류 초코렛 머랭 흰자 설탕 
모카쿠키,굽기, 아몬드 헤이즐넛 피스타치오 계란흰자 커피가루 흰설탕 
코다리양념구이,굽기, 코다리 다진대파 고춧가루 간장 다진 마늘 참기름 설탕 맛술 
쿠키,굽기, 아몬드 헤이즐넛 피스타치오 계란흰자 커피가루 흰설탕 
고구마크림치즈구이,굽기, 고구마 큰것 계란노른자 설탕 크림치즈 무염버터 
모카초코칩머핀,굽기, 버터 설탕 달걀 박력분 우유 인스턴트커피 베이킹파우더 초코칩 
새우버거,굽기,새우패티 새우살 양파 빵가루 계란 밀가루 소금 양상추 치커리 피클 방울토마토 소스 마요네즈 허니머스타드소스 홀그레인 씨겨자 
로쉐,굽기, 다크쵸콜릿 견과류 초코펜 
느타리버섯구이,굽기, 느타리버섯 장 고추장 고춧가루 다진 마늘 다진 파 깨소금 참기름 소금 맛간장 매실엑기스 설탕 
딸기가나슈케이크,굽기, 생크림 딸기 장식용 초코렛 제노아즈 박력분 버터 설탕 계란 코코아가루 가나슈 다크초코렛 생크림 
베이컨,굽기, 삼겹살 또는 오겹살 소금 후추 홍차티백향신료로 대체가능 
식빵,굽기, 강력분 계란 우유 연유 설탕 인스턴트이스트 버터 소금 
카스테라,굽기, 박력분 계란노른자 계란 정도 오일 럼주 설탕 꿀 물엿 생크림 버터 소금 바닐라설탕
퍼지브라우니,굽기, 중력분 계란 베이킹파우더 다크초콜릿 무가당코코아가루 버터 유기농설탕 바닐라익스트랙 소금 
마늘바게트,굽기, 바게트빵 버터 다진마늘 연유 마요네즈 설탕 파슬리가루 파르메산치즈가루 
모카빵,굽기, 강력분 계란 버터 설탕 우유 인스턴트이스트 소금 뜨거운물 커피 깔루아 건포도 호두 비스킷 박력분 버터 설탕 계란 우유 베이킹파우더 베이킹소다 모카에센스 
삼색상투과자,굽기, 백앙금 아몬드가루 노른자 생크림 물엿 녹차가루 백년초 가루 단호박가루 
옥수수식빵,굽기, 유기농 옥수수가루 유기농 강력분 물 우유 드라이이스트 스위트콘 설탕 버터 소금 
식빵,굽기, 우유 물 강력분 박력분 설탕 인스턴트 드라이이스트 소금 버터 백련초가루 온수 코코아가루 온수 
요거트스콘,굽기, 박력분 소금 베이킹 파우더 베이킹소다 설탕 요거트 크랜베리 후르츠믹스 계란물 
와플,굽기, 중력분박력분 계란 베이킹파우더 베이킹소다 럼주 우유 바닐라액 버터밀크 녹인버터나 오일 설탕 소금 
오렌지닭봉구이,굽기, 닭봉 오렌지 우유 닭봉밑간 다진마늘 소금 후춧가루 오렌지소스 오렌지 주스 설탕 식초 물엿 굴소스 핫소스 물 
햄야채키슈,굽기,키슈블랑 계란 노른자 생크림 넛맥 후춧가루 소금 키슈반죽 강력분 박력분 버터 계란 소금 우유 또는 물 통조림햄 작은것 브로콜리 양파 새송이 버섯 큰것 파프리카 중간것 모짜렐라치즈 또는 에멘탈치즈 
견과류파운드케익,굽기, 박력쌀가루 버터 황설탕 계란 생크림 와인 헤즐넛가루 시나몬가루 베이킹 파우더 은술 소금 다크 쵸콜릿 다진 것 피칸 다진 것 통피칸 호두 피스타치오 통아몬드 와인에 절인 건조산딸기 팔각 나빠주 물 
쿠키,굽기,플레인 반죽 박력분 탈지분유 버터 노른자 바닐라오일 설탕 초코반죽 무가당 코코아가루 박력분 설탕 노른자 바닐라 오일 
