CKG_NM,CKG_MTH_ACTO_NM,CKG_MTRL_CN
스프링롤,데치기, 라이스페이퍼 깻잎 버미셀리 껍질까서 손질한 생새우 크래미 노란 파프리카 빨간 파프리카 치자단무지 오이 햄 새우 허브솔트 후추 땅콩소스 피넛버터 간장 요리당 땅콩분태 스위트칠리소스 
토마토마리네이드,데치기, 방울토마토 양파 올리브유 레몬즙 소금 후춧가루 바질가루 파슬리가루 
곤약초밥,데치기, 곤약 밥 당근 양파 실파 파프리카 김 간장 설탕 식초 단촛물 식초 설탕 소금 
다시마야채쌈,데치기, 염장다시마 새우 노란파프리카 오이 당근 팽이버섯 무순 대파 고추장 레몬즙 다진마늘 올리고당 양파즙 
해초샐러드,데치기, 미쯔칸 하루사메 모둠해초 청오이 토마토 칵테일새우 날치알 미쯔칸 유자폰즈소스 
호박잎찌는법,데치기, 호박잎 홈메이드쌈장 된장 고추장 다진마늘 다진파 다진양파 고춧가루 콜라 참기름 통깨 물엿 설탕 
앳젓소스,데치기, 양배추 다진마늘 고춧가루 다진청양고추 깨소금 멸치액젓 참기름
오리훈제,데치기, 오리훈제 하프팩 부추 양파 오리훈제바비큐소스
시금치베이컨주먹밥,데치기, 데친 시금치 베이컨 참기름 검정깨 소금 
계란,데치기, 달걀 물 
냉이주먹밥,데치기, 데친냉이 밥 김밥용김 소금 후추 냉이 집된장 맛술 참기름 마늘 통깨 
다시마쌈,데치기, 쌈 다시마 초고추장 쌈장
시금치주먹밥,데치기, 데친시금치 딸기 밥 캔옥수수 김밥용김 간장 들기름 통깨 소금 
두부냉이샐러드,데치기, 두부 녹말가루 냉이 호두 식용유 냉이 밑간 소금 참기름 소스 간장 매실액 식초또는 레몬즙 참기름 설탕 고춧가루 소금 후추 
두릅다시마말이,데치기, 두릅 크래미게살 파프리카 쌈다시마 달래 초고추장 달래 고추장 매실청 식초 올리고당 
죽순,데치기, 왕새우 국수 미나리 숙주 죽순 치커리 홍고추 미나리 죽순 숙주나물 밑간 참기름 소금 소스 간장 물 식초 설탕 레몬즙 다진 마늘 겨자소스 작은술
오징어강회,데치기, 오징어 빨간파프리가 노란파프리카 실파 해찬들초고추장 청주 
두부샐러드,데치기, 두부 작은것 햄 오이 마늘소스 다진마늘 참기름 소금 간장 물 매실액 식초 설탕 
유부주머니,데치기, 통유부 잡채 부추나실파또는미나리
감자햄샐러드,데치기, 리챔 감자 중간크기 마요네즈 통깨 식초 설탕 소금 
차돌박이샐러드,데치기, 어린잎 차돌박이 오렌지 물 키위소스 와사비 소금 된장 마요네즈 키위쥬스 양파 요플레
양배추쌈,데치기, 양배추 미나리 소금 다진파 밥 다진당근 검은깨 참기름 젓갈
브로콜리꼬마김밥,데치기, 브로콜리 당근 김밥용김 밥 간장 깨소금 참기름
두릅초회,데치기, 두릅 초고추장
시금치달걀덮밥,데치기, 밥 시금치 달걀 소금 기름 참기름 다진마늘 통깨 케첩 
매실유부초밥,데치기, 밥 유부 다진 매실장아찌 날치알 검정깨 고추냉이 간장 유부 데칠때 소금 유부 물 소금 설탕 초밥 소금 설탕 식초 매실청 
표고버섯보관,데치기, 표고버섯
브로콜리참치샐러드,데치기, 브로콜리 참치 소스 호두 데친 두부 발사믹식초 매실청 
오징어,데치기, 오징어 초고추장 고추장 식초 매실액 고추냉이 양파즙 사과즙 마늘즙 생강즙 레몬즙 
주꾸미파강회,데치기, 주꾸미 실파 밀가루 쭈꾸미 데치는 소금 고추장 식초 설탕 사이다 다진마늘 
쭈꾸미쪽파강회,데치기, 쭈꾸미 쪽파 초고추장 고추장 고춧가루 매실청 설탕 식초 통깨 마늘
콩나물덮밥,데치기, 콩나물 밥 굵은 파 간장 참기름 다진마늘 깨소금 고춧가루 물 소금 
오징어샐러드,데치기, 오징어 몸통 오이 양파 깻잎 깨 땅콩가루 고추장 식초 올리고당 
유부부추샐러드,데치기, 부추 유부 양파 당근 시판참깨드레싱소스 기호
쪽파강회,데치기, 쪽파 계란지단 간장 매실청 설탕 깨 고춧가루 참기름 
브로콜리,데치기, 브로콜리 굵은소금
고사리나물,데치기, 고사리 정도 다진마늘 식용유 소금 대파 깨소금 
새조개샤브샤브,데치기, 새조개 배추속 청경채 비타민 육수 무 바지락 멸치 다시마 대파 청량고추 북어포 양파
두릅초회,데치기, 두릅 소금 초고추장
양념꼬막,데치기, 꼬막 고춧가루 간장 참기름 생강즙 설탕 다진마늘 다진 홍고추 다진 깻잎 다진 양파 참깨
깻잎주먹밥,데치기, 밥 깻잎 장조림 소금 참기름 깨소금
엄나무순초회,데치기, 엄나무순 소금 물 초고추장 고추장 매실액 식초 설탕 다진 마늘 통깨 
쭈꾸미샤브샤브,데치기, 쭈꾸미 쌈배추 청경채 느타리버섯 표고버섯 양파 육수 바지락 무우 멸치다시다 청양고추 건새우 건홍합 북어채
전복장,데치기, 전복 양파 홍고추 생강 마늘 대파 대추 진간장 국간장 백포도주 멸치다시마물 
연근샐러드,데치기, 연근 견과류 검은깨 참깨 마요네즈 꿀 화이트와인 소금 생수 
문어숙회,데치기, 문어 대하 은이버섯 래디쉬 다시마 채소 샐러드 레드치커리 적근대
배추나물,데치기, 배추속잎 적당양 소금 까나리액젓 마늘 당근 참기름 흑임자
문어숙회,데치기, 문어 기름장 초고추장
가스파초,데치기, 완숙 토마토 오이 파프리카 양파 샐러리 줄기 식빵 슬라이스 발사믹 식초 엑스트라버진 올리브 오일 소금 플레인요구르트 
갑오징어숙회,데치기, 갑오징어 파프리카 마늘종 초고추장
두릅초밥,데치기, 두릅 두릅 초밥 현미밥 달걀 식초 장미식초 시래기식초
깻잎,데치기, 깻잎 간장 물 매실액기스 물엿 다진마늘 다진파 참기름 깨소금 
문어숙회,데치기, 돌문어 식초 설탕 초고추장 고추장 매실액 설탕 식초
소시지,데치기, 돼지고기후지 등지방 대두 전분 스파이스 미향 후추 파슬리 생강 간마늘 계란 돼지불고기 양파 머스타드소스 토마토케첩
곰피,데치기, 곰피 초고추장
미나리오징어숙회,데치기, 오징어 미나리 고추장 간장 연잎효소 레몬즙 깨 참기름 
쪽파말이,데치기, 쪽파 맛살 초고추장
해산물샐러드,데치기, 새우 관자살 피홍합 중합 양파 마늘 실파 그린치커리 양상추 롤라로사 당근 올리브오일 레몬 식초 딜 월계수잎 샐러리 흰통후추 소금 흰후추가루 
도시락,데치기, 치즈 검은깨 비엔나소시지 밥 애호박 당근 햄
미나리강회,데치기, 미나리 오징어 파프리카 소금 물 고추장 설탕 식초
배추롤,데치기, 연어 배추 개 배추 고추가루 황설탕 참기름 통깨 
돈나물샐러드,데치기, 돈나물 초고추장 고추장 물엿 식초 통깨
된장배추나물,데치기, 배추 파 고추 된장 마늘 깨 참기름 
미나리주꾸미숙회,데치기, 주꾸미 밀가루 미나리 줄기 부분만 초고추장 고추장 식초 설탕 다진마늘 통깨 
두릅초회,데치기, 두릅 소금 초장
표고버섯숙회,데치기, 표고버섯 초고추장 고추장 식초 설탕 올리고당 사이다 
토마토샐러드,데치기, 방울토마토 파인애플 어린잎채소 식초 올리브유 다진양파 소금 꿀 
곤드레밥,데치기, 곤드레 나물 쌀 조림 간장 고춧가루 다진마늘 통깨 참기름 
오징어강회,데치기, 오징어 몸통 파프리카 쪽파 초고추장 
두릅데치기,데치기, 두릅 천일염 초고추장
해산물샐러드,데치기, 오징어 양상추 샐러드채소 돌나물 레몬즙 설탕 올리브유 소금 레몬 
밀전병,데치기, 두릅 엄나물 밀가루 달걀 부추 초고추장 
오징어미나리강회,데치기, 오징어 미나리 소금 초고추장 고추장 식초 백설탕 고춧가루 물엿 매실액 
두릅숙회,데치기, 참두릅 천일염 초고추장
머위잎,데치기, 머위잎 애호박 양파 커리플라워 된장 고추장 다진마늘 
쭈꾸미밥,데치기, 쭈꾸미
양배추쌈,데치기, 양배추 밥 쪽파 청양고추 고추장 된장 올리고당 통깨 참기름 다진 마늘 
연근샐러드,데치기, 연근 사과 홍고추 청고추 매실청 연두 레몬즙 레몬식초
현미곰취주먹밥,데치기, 발아찰현미 백미 곰취 통깨 물 참기름 소금
오징어숙회,데치기, 오징어 양파 초고추장
