CKG_NM,CKG_MTH_ACTO_NM,CKG_MTRL_CN
만두,삶기, 돼지살코기간것 김치 두부 파 마늘 계란 숙주 깨 참기름 소금 후추 만두피 국간장 미림 대파 멸치다시국물
새우주먹밥,삶기, 밥 새우 오이 치자 단무지 명란젓없어도 무방 새우 삶을 물 대파 레몬즙 참기름 배합초 식초 설탕 소금 
김치감자샐러드,삶기, 신김치 감자 양파 당근 대파 소금물 물 소금 마요네즈 소스 마요네즈 참기름 통깨 
매쉬드포테이토,삶기, 감자 버터 사워크림 우유 파르메산치즈 소금 흰후추 
콩국수,삶기, 흰콩 불린 것 소금 국수 오이 토마토 
파스타샐러드,삶기, 파스타 한줌하고 반정도 토마토 마른 홍고추 또는 페퍼로치노 블랙올리브 파슬리가루 올리브유 아몬드 잣 땅콩 다진마늘 설탕 소금 후추가루
마카로니샐러드,삶기, 마카로니 사과 작은것 당근 옥수수 통조림 땅콩 건포도 물 굵은 소금 설탕 마요네즈 머스터드 물엿 소금 후춧가루 
돼지고기보쌈,삶기,배추김치 배추 무 쪽파 갓 천일염 절임물 천일염 물 찹쌀풀 찹쌀가루 물 보쌈 돼지목살 양파 월계수잎 청주 물 고기잠길만큼 배추김치 장 고춧가루 다진마늘 새우젓 까나리액젓 갈은배 설탕 소금 보쌈 된장 통후추 인스턴트 커피 
감자샐러드,삶기, 감자 프랑크소시지 푸른잎 채소 드레싱 홀그레인 머스타드 다진마늘 올리브유 레몬즙 파슬리가루 후추 소금 
감자샐러드,삶기, 감자 삶은계란 사과 장식용 슬라이스치즈 딸기방울토마토 브로콜리 소금 마요네즈 플레인요거트 
단호박마카로니샐러드,삶기, 단호박 삶아 으깬것 마카로니 양파 오이 슬라이스햄 삶은계란 사과 마요네즈 머스터드 우유 또는 생크림 소금 후추 
동파육,삶기, 돼지고기 브로콜리 통마늘 생강 통후추 정향 정도 진간장 청주 흑설탕 맛술 물 
꿀경단,삶기, 찹쌀가루 물 머그컵 감자전분 백련초가루 녹차가루 꿀 
쌀국수샐러드,삶기, 쌀국수 버미셀리 샐러드용 모듬 채소 레몬 칵테일 새우 오징어 그린홍합 스위트 미니 파프리카 액소틱 푸드 피시소스 레몬즙 설탕 흑후추분 청양고추 다진것 액소틱푸드 스위트 칠리소스 찬물 
돼지고기보쌈,삶기, 흑 돼지고기앞다리살 양파 마늘 생강 대파 흰대 오미자 통후추 물 묵은지 생강술 맛술청주 
두부,삶기, 불린 대두콩 물 한천 당근 잔파 냉동 자숙새우 국간장 소금 작은술 깨소금 
자루우동,삶기, 강고모리 자루우동 건면 다진파 갈은 무우 와사비 김가루 기꼬만 혼쯔유 
삼겹살냉이양배추롤,삶기, 냉이 표고버섯 당근 삼겹살 묵은지 밥 양배추 쌈장 설탕 들기름 소금 
마카로니샐러드,삶기, 마카로니 오이 딱딱한 복숭아 햄 양파 옥수수콘 마요네즈 머스터드 설탕 소금 후춧가루 
감자오이샐러드,삶기, 감자 오이 양파 작은것 슬라이스햄 마요네즈 머스타드소스 설탕 소금 후추가루 
에그샌드위치,삶기, 식빵 삶은계란 토마토 양상추 로메인 슬라이스햄 슬라이스치즈 마요네즈또는크림치즈 머스터드소스 
감자샐러드,삶기, 감자 오이 김밥햄 사과 달걀 소금 후추 마요네즈 취향껏
옥수수삶는법,삶기, 옥수수 물 천일염 뉴슈가 식초 
감자샐러드,삶기, 감자 큰걸로 양파 옥수수 당근 브로콜리 파프리카 땅콩 마요네즈 구운소금 그린 스위티 
콩국수,삶기, 흰콩 검은깨 호두 아몬드 면 오이 소금
닭가슴살샌드,삶기, 닭가슴살 계란 피클 보라양파 파슬리 모닝빵 닭가슴살 삶는 물 양파 통후추 마늘 대파 소금 마요네즈 머스타드 후추 소금 
에그포테이토샌드위치,삶기, 호밀식빵 감자中 달걀 양파 게맛살 오이 옥수수콘 파마산가루 마요네즈 소금 후춧가루 케첩 머스터드 
양배추쌈,삶기, 양배추 당면 당근 대하 고추 감자전분 향신기름 맛소금 맛술
율란,삶기, 밤 꿀 계핏가루 흑임자 참깨 소금 
고구마크림치즈타르트,삶기,소보루 중력분 옥수수가루 베이킹파우더 베이킹소다 버터 땅콩버터 설탕 달걀노른자 물엿 타르트 반죽 박력분 슈거파우더 달걀 버터 필링 고구마 크림치즈 버터 설탕 달걀 
국수,삶기, 멸치 다시마 물 애호박 당근 소면 소고기 달걀 구운 김 장국 가스오부시 간장 조미술 고기밑간 간장 설탕 참기름 후추 다진 마늘 
감자샐러드,삶기, 감자 스위트콘 오이 사과 양파 마요네즈 소금 후추 레몬즙 
