CKG_NM,CKG_MTH_ACTO_NM,CKG_MTRL_CN
블루베리쨈,조림, 블루베리 설탕 레몬즙 럼 모닝빵 
두부조림,조림, 손두부 포도씨유 소금 꽈리고추 양파 대파 장 간장 물 설탕 물엿 요리당 굴소스 고춧가루 마늘 후춧가루 
오징어청양고추조림,조림, 오징어링 마른고추 큰것 다시마 통마늘 청양고추 물 맛간장 생강맛술 올리고당 설탕 후춧가루 
밤조림,조림, 밤 설탕 중조 럼주나 브랜디 소금 물 
갈치조림,조림, 갈치 무 감자 물 풋고추 고춧가루 고추장 다진 마늘 간장 설탕 참기름 맛술 
연어간장조림,조림, 연어포 새송이버섯 편생강 브로콜리 돈나물 춘권피 파 흰부분 초고추장 아라니 소스 진간장 정종 맛술 흑설탕 
떡갈비,조림, 갈빗살 다진양파 다진마늘 다진 밤 다진 대추 다진파 다진 양송이 잣 다진거 찹쌀가루 고기밑간 배즙 생강즙 깨소금 간장 설탕 꿀 참기름 청주 후추 소금 소스 간장 조청 꿀 참기름 
닭가슴살두부강정,조림, 닭가슴살 두부 땅콩 계란 노른자 다진 마늘 작은술 부추 소금 생강술 후춧가루 장 고추장 듬뿍 토마토케첩 머스타드 멜린다 핫소스 설탕 올리고당 후춧가루 진간장 물 
코다리조림,조림, 코다리 나박썬무 청양고추 물 생강즙 맛술 소금 참기름 장 고춧가루 간장 다진마늘 설탕 맛술 
계란장조림,조림, 계란 진간장 황설탕 생강 통깨 
꽈리고추달걀장조림,조림, 달걀 꽈리고추 통마늘 멸치다시마 육수 국물용 멸치 다시마 물 조림장 진간장 설탕 맛술 
닭고기야채조림,조림, 토막낸 닭고기 우유 양파 당근 청피망 감자 마른 표고버섯채 다시마육수 진간장 핫소스 황설탕 다진 마늘 청주 생강가루 참기름 후춧가루 통깨 
미트볼야채조림,조림,미트볼반죽 돼지고기간것 양파 빵가루 녹말가루 계란흰자 백포도주 마늘가루 후춧가루 소금 부 노랑파프리카 빨강파프리카 양파 브로콜리 녹말물 녹말가루 물 소스 토마토케찹 진간장 굴소스 우스터소스 황설탕 육수 참기름 
양송이버섯장조림,조림, 양송이버섯 통 마늘 꽈리고추 굵은소금 조림장 물 진간장 설탕 물엿 맛술 통깨 
마늘조림,조림, 마늘 올리브유 물엿 간장 맛술 소금 
닭봉케찹조림,조림, 닭봉 양파 버터 호두 월계수잎 물 닭봉 밑간 우유 후춧가루 조림 케찹 우스터소스 핫소스 현미식초 황설탕 요리당 소금 
돼지고기안심장조림,조림, 돼지고기 안심약 청양고추 돼지고기 삶는 물 된장 통후추 대파 흰 부분 마늘 생강이나 생강가루 물 조림장 간장 청주 맛술 흑설탕 물엿 물 
동파육,조림, 통삼겹살 대파채 물 양파 통 마늘 통후추 파뿌리 월계수잎 조림장 진간장 굴소스 설탕 맛술 인스턴트 커피 
삼치데리야끼,조림, 삼치 밀가루 포도씨유 대파 생강 생선밑간 맛술 은소금 후춧가루 데리야끼 소스 생수 진간장 맛술 물엿 설탕 다진생강가루 양파 통마늘 다시마 마른고추 
닭가슴살,조림, 닭가슴살 대파나 쪽파 닭 삶는물 물 통후추 월계수 잎 청주 생강즙이나 가루 간장 맛술 흑설탕 다진 마늘 물엿 통깨 참기름 후춧가루 발사믹식초 발사믹 식초는 옵션
참치볼조림,조림, 참치통조림 양파 빨간피망 계란 밀가루 조림소스 다진양파 토마토케찹 고추장 설탕 물엿 간장 미림 물 
두부케첩조림,조림, 두부 청피망 양파 소금 다진 마늘 통깨 케첩 소스 케첩 스테이크소스돈까스소스 물엿 물 
홍합초,조림, 홍합 파 마늘 편썰기 생강 편썰기 간장 설탕 물 후추 참기름 
연어데리야끼,조림, 연어 연어 밑간 소금 후추 올리브유 데리야끼소스 간장 물 미림 설탕 
두부간장조림,조림, 두부 양파 대파 멸치다시마육수 국간장 간장 고춧가루 맛술 다진 마늘 물엿 소금 후춧가루 참기름 
소세지캐비지롤,조림, 비엔나소세지 양배추잎 파슬리가루 케찹 우스터소스 치킨스톡 물 소금 후추 
고등어조림,조림, 고등어 작은크기 청주 무 양파 중 대파 홍고추 멸치다시마 육수 간장 고추장 고춧가루 청주 다진마늘 다진생강이나 생강가루 물엿 
문어꽈리고추조림,조림, 꽈리고추 건문어 고추기름 다진마늘 진간장 올리고당 청주 생강가루 후추 통깨 
오징어다시마조림,조림, 오징어링 마른다시마 홍고추 청양고추 고추기름 멸치육수 간장 다진마늘 설탕 올리고당 
콩자반,조림, 불린 흰콩 불린 검정콩 물 소금 참기름 통깨 조림장 다시마 우린물 와촌 간장소스 설탕 맛술 올리고당 
복숭아병조림,조림, 복숭아 설탕 오미자즙 오미자즙 만들기 오미자 물 
고구마조림,조림, 고구마 포도씨유 간장 물 맛술 설탕 올리고당 참기름 검정깨 
닭봉콜라조림,조림, 닭봉 콜라 간장 설탕 청주 맛술 월계수잎 통깨 
오징어롤야채조림,조림, 여주 당근 양파 맛살 오징어몸통 식용유 꽃소금 굵은소금 장 간장 굴소스 청주 올리고당 참기름 다진마늘 
고구마간장조림,조림, 고구마 무 파 고구마조림 간장 물 설탕 올리고당 깨 소금 무국 고춧가루 국간장 다진마늘 소금 후추 참기름 
밤조림,조림, 깐밤 물처음에 삶는물 물마지막에 삶는물 마른치자 백설탕 
묵은지고등어조림,조림, 고등어 묵은지 나박썬 무 양파 청양고추 다시마물 꽃소금 다진마늘 다진생강 장 고춧가루 진간장 설탕 김칫국물 다진마늘 소금 후춧가루 
메추리알장조림,조림, 메추리알 새송이파지 생강 통깨 진간장 물 올리고당 황설탕 
소고기장조림,조림, 소고기 꽈리고추 마늘 삶은계란 진간장 국간장 설탕 맛술 후춧가루 
무조림,조림, 무 멸치 중 크기 물 청주 참기름 간장 참치 액 맛술 설탕 물엿 고춧가루 다진 마늘 다진 파 
다시마구기자조림,조림, 건다시마 구기자 청양고추 마늘 양파 대파 흰대 통깨 참기름 조림장 물 간장 올리고당 생강술 맛술청주 설탕 
고구마고추장조림,조림, 고구마 중간짜리 파 깨소금 간장 고추가루 고추장 물엿 와인 다진마늘 들기름 물 
전복초,조림, 전복 마늘 홍고추 생강 잣 은행알 밤 간장 물 설탕 물엿 요리술 
닭봉조림,조림, 닭날개 닭봉 생강 소금 칠리소스 
오징어마조림,조림, 안동산약 오징어 몸통 풋고추 대파 간장소스 간장 맛술 다시마물 설탕 큰술 생청국장 올리고당 참기름 
쇠고기당근감자말이,조림, 다하누 쇠고기 당근 감자 녹말가루 통마늘 기름 감자당근 데칠때 굵은 소금 허브맛솔트 소스 케찹 돈까스소스 물
양미리조림,조림, 양미리 식용유 밀가루 마늘 생강 조림장 간장 고추장 물엿 청주 물 통깨 참기름 
돼지고기장조림,조림, 돼지안심 한근 향신즙 녹차잎 물 잠길정도 양자택일 달걀 메추리알 조림 간장 올리고당 메실 엑기스 물 조림 사과 양파 대파 잎과 뿌리 마늘 생강 통후추 마른고추 
단호박고등어조림,조림, 고등어 단호박 대파 청고추 홍고추 물 고추장 고춧가루 간장 꿀 또는 물엿 다진마늘 다진생강 청주 소금 후춧가루 
