CKG_NM,CKG_MTH_ACTO_NM,CKG_MTRL_CN
어묵김말이,튀김, 어묵 김밥용김 당면 양파 당근 깻잎 튀김가루 올리브유 간장 참기름 
표고버섯탕수,튀김, 건표고버섯 오이 당근 양파 사과 야채 과일 녹말물 녹말가루 물 계란 노른자 탕수 소스 물 설탕 식초 간장 녹말물 
갈릭치킨,튀김, 닭 닭 통마늘 다진마늘 화이트와인또는우유 올리브유또는버터 마늘솔트또는소금 샐러드 드레싱 파인애플 마요네즈 머스터드 식초또는 레몬즙 꿀 
양파링튀김,튀김, 양파 빵가루 달걀 노른자 밀가루 물 파슬리 
새우볶음밥고로케,튀김, 새우 밥 김치 당근 감자 양파 빵가루 달걀 밀가루
고구마치즈스틱,튀김, 고구마 큰거 모차렐라치즈 버터 밀가루 빵가루 달걀 
야끼만두,튀김, 당면 부추 만두피 간장 물엿 또는 설탕 참기름 다진 파 다진 마늘 소금 후추 
깐풍코다리,튀김, 코다리 양파 빨간 피망 파란 피망 대파 건고추 통마늘 튀김옷 계란 녹말가루 박력쌀가루 소금 작은술 코다리 밑간 소금 생강술 후춧가루 장 고추기름 진간장 굴소스 설탕 식초 올리고당또는 물엿 생강술 고추기름 후춧가루 참기름 
고구마야채튀김,튀김, 고구마 양파 당근 느타리버섯 튀김반죽 튀김가루 달걀 찬맥주 간장소스 간장 고춧가루 참기름 통깨 
치킨까스카레덮밥,튀김, 감자 양파 당근 닭가슴살 닭가슴살 달걀 카레 물 다진마늘 소금 후춧가루 밀가루 빵가루 소금 후춧가루 
오렌지탕수육,튀김, 돼지고기 오렌지 양파 피망 붉은피망 목이버섯 달걀 녹말물 녹말가루 물 튀김옷 밀가루 녹말가루 고기 간장 맛술 포도씨유 소금 후춧가루 탕수육소스 케첩 설탕 식초 간장 물 
굴비탕수육,튀김, 싱싱한참 굴비 튀김용기름 녹말가루 탕수 당근 청피망 목이버섯 오이 대파 윗부분 마늘 생강 참굴비밑간 청주 진간장 탕수소스 진간장 식초 설탕 멸치육수 물녹말 참기름 
쉬림프딸기샐러드,튀김, 새우 딸기 양상추 치커리 튀김반죽 튀김가루 달걀 물 튀김가루 빵가루 맛술 소금 후춧가루 허니요플레 드레싱 떠먹는 요플레 꿀 마요네즈 레몬즙 
새우탕수,튀김, 새우 양파 피망 파프리카 파인애플 통마늘 튀김용기름 계란노른자 녹말가루 녹말물 녹말가루 물 새우밑간 소금 후춧가루 레몬즙 탕수소스 진간장 식초 케첩 후춧가루 올리고당 설탕 참기름 핫소스 식용유 물 
칠리새우,튀김, 블랙타이거새우 약 녹말가루 계란 다진마늘 다진 대파 파프리카 다진것 파슬리가루 식용유 물 녹말물 물 녹말가루 새우밑간 소금 후추 소스 두반장 고추기름 케첩 설탕 매콤한 굴소스 고운 고춧가루 
몬테크리스토,튀김, 식빵 슬라이스 햄 슬라이스 치즈 닭가슴살 튀김반죽 튀김가루 얼음물 달걀 버터 피자치즈 소금 후춧가루 딸기쨈
메추리알꼬치,튀김, 메추리알 튀김가루 통깨 튀김반죽 튀김가루 찬 맥주 새콤달콤소스 고추장 케첩 간장 물엿 설탕 과일즙 통깨 
파스타과자,튀김, 파스타 튀김기름
도넛,튀김, 굳은도넛 생크림 키위 장식용과일딸기 등 민트잎 시럽 물 설탕 레몬즙 오렌지술럼주 계피 나빠쥬꿀 
찹쌀도넛,튀김, 박력분 찹쌀도넛믹스 버터 설탕 계란 우유 글레이즈 슈가파우더 우유 딸기가루 냉동건조딸기 
탕수만두,튀김, 만두 마른표고버섯 당근 양파 완두콩캔 옥수수캔 녹말물 녹말가루 물 탕수소스 진간장 물 황설탕 현미식초 레몬즙 소금 
돈까스,튀김, 돈까스용등심 신김치 콩나물 홍고추 청고추 통깨 튀김가루 빵가루 계란 고추장 고춧가루 진간장 청주 참기름 황설탕 깨소슴 마늘 
두부강정,튀김, 두부 땅콩 녹말가루 대파 쪽파 고추장 케첩 물엿 흑설탕 물 다진 마늘 참기름 통깨 
어묵샌드크로켓,튀김, 사각어묵 감자 빨강파프리카 완두콩캔 계란 밥 우유 버터 밀가루 빵가루 튀김기름 소금 후춧가루 케찹 머스터드소스 
감자크로켓,튀김, 감자 당근 양파 호박 햄 계란 빵가루 파슬리가루 소금 후추 
두부감자채탕수,튀김, 두부 감자 당근 빵가루 오이 계란 물 기름 녹말물 녹말 물 칠리소스 간장 케찹 설탕 
미니스카치에그,튀김, 삶은 메추리알 스팸 양파 당근 전분가루 메추리알 밀가루 달걀 빵가루 우유 소금 후춧가루 
바나나튀김,튀김, 핫케익 가루 계란 우유 미니바나나 소세지 콘후레이크 빵가루 마요네즈 케찹 꿀 핫케익소스
야채어묵튀김,튀김, 야채어묵 밀가루 계란 빵가루 식용유
미트볼튀김,튀김, 돼지고기 간 것 계란 양파 빵가루 브로콜리 치즈 방울토마토 단호박 식용유 허브솔트 후추 우스터소스 
치킨마요,튀김, 햇반 닭가슴살 계란 밀가루 빵가루 김 마요네즈 닭가슴살 밑간 소금 후추 덮밥 소스 간장 맛술 가쓰오부시장국 설탕 물 
게살야채춘권,튀김, 게살 춘권피 피자치즈 칼라별 파프리카 씩 핫소스 튀김용 식용유 소금 후춧가루 
탕수육,튀김, 돼지고기 후지 오이 양송이버섯 물에 불린 표고버섯 당근 적양파 반죽 감자전분 계란 소금 물 계란 고기밑간 소금 후추 소스 생수 설탕 소금 간장 식초 참기름 전분물 
감자고로케,튀김, 감자 당근 양파 스팸 또는 갈은 돼지고기 빵가루 전분가루 계란 밀가루 소금 카레가루 취향껏
삼치강정,튀김, 삼치 소금 후춧가루 밀가루나 녹말가루 부 마늘 청양고추 홍고추 간장 굴소스 맛술 청주 물엿 식초 물 생강가루 후춧가루 
단호박찹쌀도넛,튀김, 단호박 찐것 뜨거운물 무농약 찹쌀가루 튀김용 기름 우리밀 백밀가루 빌링턴 유기농 케스터 비정제 슈가 베이킹 파우더 크리스탈 고운소금 토핑용 설탕 토핑용 시나몬가루 
코코넛,튀김, 오징어링 코코넛롱 튀김옷 밀가루 물 달걀 카레가루 소금 후추 허니머스터드소스 머스터드 마요네즈 꿀 
닭강정,튀김, 닭가슴살 우유 달걀 노른자 땅콩가루 포도씨유 전분가루 다진마늘 소금 후춧가루 소스 고추장 케첩 꿀 간장 식초 물 
견과류고구마밤맛탕,튀김, 고구마 깐생밤약 견과류호두아몬드 카놀라유 설탕 올리고당 생수 계피가루 
깐풍더덕,튀김, 더덕 계란 흰자 녹말가루 고추기름 식용유 양파 건고추 대파 통마늘 풋고추 진간장 굴소스 설탕 올리고당 맛술 물 식초 참기름 후춧가루 소금 
약과,튀김, 밀가루 계피가루 후추 식소다 계란 청주 참기름 집청시럽 생강달인물 고명용 대추 잣 집청꿀 생강달인물 조청 설탕 생강 물 
크림치즈스프링롤,튀김, 크림치즈 맛살 대파 다진마늘 월남쌈피 튀김기름 튀김옷 밀가루 달걀 빵가루 소금 후춧가루 
