CKG_NM,CKG_MTH_ACTO_NM,CKG_MTRL_CN
오코노미야키,부침, 양배추 숙주 오징어 새우 베이컨 계란 실파 오코노미야키반죽 밀가루 물 혼다시 후추소금 돈가스소스 마요네즈
연근전,부침, 연근 새우살 빨간파프리카 녹색파프리카 밀가루 양파 당근 계란노른자 소금 후춧가루 생강가루 
연근전,부침, 연근 작은크기 계란 밀가루 식용유 풋고추 식초 홍고추 소금간 
파전병,부침,중국식 파전병 밀가루 소금 뜨거운물 참기름 다진파 소금 베이컨 기름 초간장 양파샌드위치 양파 베이컨 소금 후추 발사믹식초 허니머스터드소스 샌드위치빵 
오징어부추부침개,부침, 부침가루 튀김가루 중력분 계란 찬물 부추 호박 청양 고추 오징어 소금 
오코노미야끼,부침, 오징어 새우 양배추채 대파 청양고추 가쓰오부시 반죽 부침가루 달걀 물 우유 맛술 소금 후춧가루 돈까스소스 마요네즈 
부추전,부침, 부추 양파 당근 청양 고추 부침가루 밀가루 얼음물 국간장 
달걀말이,부침, 달걀 대파 청주 소금 후춧가루 
감자핫케익,부침, 감자 계란 밀가루 소금 요구르트 생크림 딸기꽁포트 
팽이버섯전,부침, 팽이버섯 계란 풋고추 식용유 소금 
바지락부추부침개,부침, 부추 부침가루 바지락 육수 소금 바지락육수 바지락 물 간장소스 간장 고춧가루 통깨 참기름 
감자전,부침, 감자 약 대파나 쪽파 썰은 것 식용유나 포도씨오일 넉넉히 후춧가루 소금 
감자전,부침, 감자성인 여성 주먹만한 크기 깻잎 둥근호박주먹 반개 정도 크기 양파 고추 참깨가루 튀김가루 후추 소금 
파프리카참치전,부침, 참치캔 계란 빵가루 파프리카 또는 피망 계란 밀가루 식용유 파 마늘 소금 후추 
파프리카전,부침, 빨강파프리카 사각어묵 마른표고버섯 옥수수캔 부침가루 계란 청피망 계란물 밀가루 소금 후춧가루 
아이스크림크레이프,부침, 박력분 계란 설탕 녹인 버터 우유 식용유 아이스크림 녹차반죽 녹차 
카레실파전,부침, 우리밀부침가루 실파 물 유기농올리브오일 카레가루 고운소금 
감자버거,부침, 감자큰거 햄슬라이스 또는 베이컨 계란 치즈 야채 식용유 소금 후추 
계란말이,부침, 계란 다시물 무 다시물 물 다시마 가쓰오부시 설탕 간장 소금 
찬밥동그랑땡,부침, 찬밥 참치 양파 당근 피망 달갈 밀가루 후추 소금 
감자소세지오믈렛,부침, 감자 큰거 비엔나소세지 양파 계란 식용유 파마산치즈 피망 달걀 밑간 소금 후추 파마산치즈 체다치즈 
감자전,부침, 감자大 식용유 소금 초간장 레몬즙 설탕 식초 간장 
핫케이크,부침, 핫케익가루 우유 계란 코코아가루 맛밤 식용유 
파프리카햄전,부침, 노랑주황빨강 파프리카 모듬냉동야채 햄 부침가루 물 다진 마늘 카놀라유 소금 
도라야끼,부침, 핫케익가루 우유 계란 코코아가루 맛밤 식용유 빙수용팥 
