CKG_NM,CKG_MTH_ACTO_NM,CKG_MTRL_CN
현미호두죽,끓이기, 현미 찹쌀 호두 물 소금 
감자스프,끓이기, 감자 생크림 우유 양파 베이컨 체다치즈 피자치즈 버터 육수 
뚝배기라면,끓이기, 좋아하는 종류의 라면 김치 굴 파 청홍고추 고춧가루 
돼지고기김치찌개,끓이기, 돼지고기 아무부위나 감자 중간크기 양파 두부 고추장 된장 물 마늘 다진것 참기름 
카레어묵전골,끓이기, 어묵 팽이버섯 쑥갓 당근 표고버섯 대파 카레육수 물 백세카레가루 가쓰오부시장국 
어묵,끓이기, 어묵 양배추 육수 무 파 양파 건새우 다시마 청양고추 고춧가루 고추장 간장 설탕 물엿 다진마늘 청주 후추가루 
크림소스,끓이기, 홍합 베이컨 양파 파프리카 파슬리 생크림 좋아하는치즈
리코타치즈,끓이기, 우유 생크림 레몬즙 소금 
뮈슬리바,끓이기, 유기농 뮈슬리 버터 요리당 꿀 호박씨 
카레,끓이기, 돼지고기 당근 감자 파프리카 양파 올리브유 시즈닝솔트 후춧가루 파키스탄카레 한국카레 일본카레
얼큰수제비,끓이기,수제비 반죽 중력분 찬물 올리브유 소금 양파 호박 감자 큰것 대파 청량고추 다진 마늘 참치캔 작은것 느타리버섯 물 고추장 혼다시 후추 고춧가루 
모밀국수,끓이기, 다시마 가다랑이포 모밀면 김 대파 유부 간장 미림
라볶이,끓이기, 멸치 다시마 말린표고버섯 물 떡볶이떡 어묵 대파 양파 삶은달걀 취향껏 라면 고운 고춧가루 간장 설탕 요리당 
깡장,끓이기, 돼지고기 오징어 양파 큰것 홍고추 풋고추 청양고추 대파 멸치육수 돼지고기 생강술 또는 청주 다진 마늘 후춧가루 장 참기름 시판쌈장 된장 고추장 맛술 다진 마늘 고춧가루 
굴무밥,끓이기, 쌀 물 굴 무 돗나물 진간장 다진 마늘 쪽파 썬것 참기름 깨소금 고춧가루 
들깨무국,끓이기, 무 중간크기 다진대파 깨 국간장 들기름 다진마늘 볶은 소금 
