CKG_NM,CKG_MTH_ACTO_NM,CKG_MTRL_CN
참치삼각김밥,기타, 밥 참치캔 큰거 양파 다진김치 김밥용김 고추장 다진마늘 참기름 맛소금 마요네즈
스팸샌드위치,기타, 스팸 싱글 샌드위치용 식빵 토마토 상추 치즈 홀그레인머스터드 허니머스터드 다진양파
참치깻잎주먹밥,기타, 밥 깻잎 참치 작은캔 당근 조미 김 다진 마늘 깨소금 맛소금 참기름
스팸쌈밥,기타, 밥 상추나그외쌈야채 스팸 밑반찬 참기름 맛소금 깨 
베이컨김치말이밥,기타, 밥 김치 베이컨 깻잎 양파 
카레새우삼각김밥,기타, 새우 양파 김치 밥지을쌀 김밥용김 계란 밀가루 빵가루 백세 카레가루 
꼬마김밥,기타, 밥 김밥용어묵 오이 캔햄이나김밥용햄 김밥용단무지 김 참기름 맛소금 
홍시아이스크림,기타, 홍시 또는 대봉시 큰것 생크림 설탕 또는 꿀 레몬즙 
홍시요거트,기타, 홍시 큰것 설탕 레몬즙 플레인 요거트 
바질페스토,기타, 바질잎 통마늘 잣 올리브오일 파마산치즈 
튜나에그샌드위치,기타, 식빵 양상추 슬라이스햄 토마토 양겨자 마요네즈 후추 레몬즙 크림치즈 계란 다진양파 
푸딩,기타,푸딩액 우유 설탕 계란 바닐라오일 카라멜소스 설탕 물 
전자렌지딸기찹쌀떡,기타, 딸기 녹말가루 팥소 찹쌀가루 물 설탕 
연어또띠아말이,기타, 또띠아 훈제연어 양파 오이 상추 오렌지 마요네즈 케이퍼 
토마토카프레제샐러드,기타, 토마토 바질 생모짜렐라치즈 양파 소스 올리브오일 발사믹식초 꿀 소금 레몬즙 후춧가루 
티라미수컵케익,기타, 마스카포네 플레인요구르트 설탕 레몬즙 계란 설탕 판젤라틴 생크림 녹차스폰지케익 코코아가루 커피시럽 물 설탕 커피 
복숭아찹쌀떡,기타, 찹쌀가루 설탕 물 체리쥬스가루 팥소 녹말가루 코코넛가루 
밥샌드위치,기타, 밥 빵 김치 애호박 새송이버섯 피망 식용유 마요네즈 고추장 소금 후추 
찹쌀경단,기타, 찹쌀가루 물 고운팥앙금 노랑카스테라가루 연두색카스테라가루 흑임자가루 계피가루 생밤 대추 
크림치즈딸기카나페,기타, 크래커 딸기 귤 블랙올리브 슬라이스햄 방울토마토 치즈 크림치즈 크림치즈
딸기케이크,기타, 딸기 작은사이즈 약 제노아즈 커스터드크림 계란노른자 설탕 박력분 생크림 바닐라액 딸기젤리 딸기퓨레 미로와 물엿 판젤라틴 
충무김밥,기타, 무 오징어 밥 김 무절임물 물 식초 설탕 소금 오징어 고춧가루 고추장 간장 식초 다진마늘 설탕 물엿 참기름 후춧가루 
쌈밥,기타, 흰쌀밥 통조림햄 작은것 꽃상추또는 청상추 쌈장 마요네즈 밥 소금 참기름 통깨 
초코바,기타, 아몬드슬라이스 쌀크로칸트 헤즐넛 생크림 밀크 초콜릿
샤벳,기타, 검은콩 두유 생크림 꿀 
귤쥬스,기타, 껍질을 깐 귤 생강 생수 꿀 
감귤젤리아이스바,기타, 가루 젤라틴 판젤라틴 물 감귤 통조림 도구 아이스바틀 젤리몰드 감귤쥬스 설탕 레몬즙 
양상추샌드위치,기타, 롤빵 베이컨 양상추 방울토마토 마요네즈 머스터드 피클 씨겨자홀그레인 머스터드 
카프레제크로와상샌드위치,기타, 크로와상큰 것 생모짜렐라치즈 토마토 바질 다진 양파 올리브유 레몬즙 소금 꿀 발사믹 식초 바질 다진 것 
오믈렛버거,기타, 햄버거빵 크림치즈 계란 체다치즈 브로컬리 피클 우유 양파 소금 망고살사소스 핫소스 후춧가루 
커피,기타, 인스턴트커피 물 설탕 얼음 딸기
롤샌드위치,기타, 샌드위치용 식빵 빨강 파프리카 노랑 파프리카 오이 햄 크래미 치즈 허니머스터드소스 양겨자 꿀 
티라미스,기타,딸기퓨레 딸기 설탕 레몬즙 크림치즈 플레인요거트 설탕 레몬즙 생크림 카스테라 
닭가슴살양파샌드위치,기타, 식빵 체다치즈 오이피클 양상추 닭가슴살 계란 양파 시판용 오이피클머스타드소스 양파 중 진간장 소금 후추 발사믹식초 
묵은지유부초밥,기타, 시판용 초밥유부 밥 묵은지 파슬리가루 기름 설탕 깨소금 
아이스크림,기타,아이스크림 냉동딸기 또는 생딸기 달걀 노른자 설탕 레몬즙 바닐라설탕 생크림 우유 토핑용 딸기 와플콘 달걀 흰자 설탕 박력분 버터 우유 소금 
치킨시저샐러드,기타, 로메인 양상추 하림 슬림 닭가슴살삶은 닭가슴살 방울 토마토 파마산치즈 시저 샐러드 드레싱 노른자 우스터소스 백후추 엔초비 포도씨유 식초 파마산치즈 올리브 크루통 식빵 올리브유 파마산치즈가루 파슬리가루 
홍차젤리,기타, 한천가루 홍차 진하게 내린것 설탕 
치킨양파샌드위치,기타, 샌드위치식빵 토마토 닭가슴살 계란 양파 브로컬리 피클머스터드소스 소금 후춧가루 양파볶음 양파 소금 진간장 후춧가루 
푸실리,기타, 푸실리 물 많이 굵은 소금 깻잎페스토 깻잎 잣 마늘 올리브오일 소금 파마산 치즈나 그라나 빠다노 통후추 간것 
레어치즈케이크,기타, 크림치즈 생크림 플레인요구르트 설탕 가루젤라틴 레몬즙 오렌지술 버찌 블루베리 비스킷 또는 제누아즈 글레이즈 
초콜릿무스,기타, 초콜릿 버터 계란노른자 코코아가루 생크림 설탕 
햄치즈샌드위치,기타, 식빵 슬라이스햄 체다치즈 계란 양파 크림치즈 소금 후춧가루 
바나나커피아이스크림,기타, 바나나 피칸 생크림 우유 인스턴트커피 연유 
고구마라떼,기타, 고구마 우유 꿀 잣가루 녹차가루 
블루베리요거트아이스크림,기타, 냉동 블루베리 플레인 요거트 생크림 토핑용 냉동 블루베리 블루베리잼 설탕 
양파계란샌드위치,기타, 오븐스마일 빵 계란물 양파 오믈렛 계란 빨강 파프리카 초록 파프리카 노랑 파프리카 양파 소금 식용유 할라피뇨 치즈드레싱 
