CKG_NM,CKG_MTH_ACTO_NM,CKG_MTRL_CN
야채피클,절임, 백오이 연근 중간크기 적양배추 양파 큰 것 피클스파이스 물 설탕 식초 소금 
설렁탕깍두기,절임, 깍둑썬 무 사이다 대파 고춧가루 까나리액젓 새우젓 다진 마늘 설탕 사이다 소금 
피클,절임, 오이 할라피뇨 브로콜리 작은것 무우 물 식초 설탕 소금 피클링스파이스 월계수잎 
열무김치,절임, 열무 열무 절임용 소금물 굵은 소금 물 고춧가루 까나리액젓 붉은고추 간 것 생강 마늘 밀가루풀 밀가루 물 
오이소박이,절임, 조선오이 절임물 물 굵은 소금 밀가루풀 물 물 밀가루 부추 자른 것 양파 멸치액젓 새우젓 고춧가루 다진 마늘 다진 생강 설탕 소금 
깻잎장아찌,절임, 깻잎 간장 고춧가루 다진 대파 다진 풋 고추 다진 마늘 참기름 통깨 
그린토마토피클,절임, 그린토마토 피클물 물 식초 설탕 소금 피클링스파이스 월계수잎 
오이피클,절임, 피클용 오이 양파 청고추 홍고추 배합초 물 황설탕 볶은소금 피클링스파이스 피클링스파이스 대체 정향 통후추 월계수잎 통계피 생강편 
양파장아찌,절임, 양파 청고추 홍고추 물 간장 식초 설탕 
오이피클,절임, 청오이 물 식초 설탕 피클링스파이스 소금 월계수잎 
토마토마리네이드,절임, 방울토마토 생바질잎 양파 중간것 소금 올리브유 식초 올리고당 파슬리 
굴깍두기,절임, 무 생굴 잔파 미지근한 물 굵은 소금 새우젓 다진 마늘 생강 고춧가루 
총각김치,절임, 기준 알타리무 쪽파 물 굵은소금 찹쌀풀 찹쌀가루 물 장 고춧가루 멸치액젓 새우젓 다진마늘 갈은 양파 설탕 
야채피클,절임, 오이 꽃소금 물 꽃소금 설탕 피클링스파이스 식초 
오이물김치,절임, 오이 절이는 소금물 물 소금 속 양파 배 당근 붉은고추 쪽파 다진마늘 다진 생강 소금 멸치액젓 설탕 국물 찹쌀풀 멸치액젓 소금 
피클,절임, 레드 파프리카 옐로우 파프리카 브로콜리 적채 당근 청오이 무우 중간것 미쯔칸 곡물식초 유기농 황설탕 소금 월계수잎 피클링스파이스 
마늘쫑피클,절임, 마늘쫑 간장 물 식초 설탕 
고추마늘피클,절임, 풋고추 마늘 물 청하소주 식초 간장 설탕 
레몬에이드,절임, 레몬 사이다또는 탄산수 설탕 
파김치,절임, 쪽파 물 밀가루 멸치액젓 고춧가루 설탕 통깨 
양파장아찌,절임, 햇양파 작은것 마른고추 간장 찬물 식초 설탕 
오이소박이,절임, 백오이 굵은소금 물 부추 고춧가루 새우젓 멸치액젓 다진파 다진 마늘 설탕 
열무김치,절임, 열무 절임물 굵은 소금 물 홍고추 양파 중 마늘 생강 멸치액젓 찬 밥 설탕 고춧가루 열무 절인 물 
고추장아찌,절임, 고추 간장 물 식초 설탕 
김장아찌,절임, 김 통깨 참기름 간장 조선간장 물 아가베시럽이나 물엿 청주 고추장 생강즙 마늘 
녹차물김치,절임, 배추 무 오이 미나리 잔파 배 마늘 양파 생강 소금 설탕 가루녹차
깻잎김치,절임, 깻잎 쪽파나 실파 당근채 생밤 고추가루 맑은장국 멸치액젓 다진마늘 통깨 설탕 물엿 향신즙 
깻잎간장장아찌,절임, 깻잎 식초 진간장 물 청주 물엿 통마늘 양파 소 생강 청량고추 건표고 대추 대파 흰대 
오미자열무물김치,절임, 열무 단배추 오미자 홍고추 찹쌀가루 당근 마늘 생강 양파 배 설탕 소금
고추장아찌,절임, 고추 간장 물 식초 설탕 
간장게장,절임,간장게장 청양고추 통마늘 생강 양파 사과 다시마 표고 건고추 통후추 대파 간장 생수 정종 매실엑기스 콩전 물 튀김가루 콩 쌀 양파 
깍두기,절임, 무 양파 마늘 액젓 굵은소금 고추가루 삼성당 통깨 잔파
파김치,절임, 잔파 소금 설탕 식초 고춧가루 멸치액젓 통깨
얼갈이배추김치,절임, 얼갈이 배추 굵은소금 밀가루풀 밀가루 물 고춧가루 약 까나리액젓 배 마늘 생강편 밀가루풀 설탕 꽃소금 
비트양파절임,절임, 양파 비트 홍고추 청고추 물 식초 설탕 간장 통후추 소금 
김치,절임, 무 생굴 잔파 양파 배 마늘 생강 까나리액젓 천일염소금 설탕 고춧가루 통깨
총각김치,절임, 총각무 쪽파 미나리 갓 굵은소금 찹쌀풀 찹쌀가루 물 김치전용액젓 새우젓 고춧가루 마늘 생강 양파 설탕 
깍두기,절임, 무 쪽파 홍고추 생강 통마늘 굵은 소금 찹쌀풀 고춧가루 새우젓 설탕 멸치액젓 
나박물김치,절임, 속배추 무 파 오이 배 당근 생수 마늘 생강 소금 고춧가루 매실청 설탕
파김치,절임, 쪽파 김치전용액젓 찹쌀풀 찹쌀가루 물 김치전용액젓 고춧가루 마늘 생강 설탕 작은술 통깨 
단감피클,절임, 단감 중간 사이즈 물 사과식초 설탕 굵은 소금 통후추 
백김치,절임, 배추 무 당근 쪽파 양파 배 마늘 대추 홍고추 생강 배추 절이기 굵은소금 백김치 국물 물 굵은소금 뉴수가 찹쌀풀
간장새우장,절임, 새우 정도 양파 중 풋고추 마늘 새우간장물 간장 물 청주 맛술 설탕 생강 마른고추 통후추 레몬 
무김치,절임, 무 큰거 정도 굵은소금 새우젓 멸치액젓 고춧가루 요리당 다진마늘 생강가루 밀가루 풀 물 밀가루 
야콘피클,절임, 야콘 中 물 설탕 식초 소금 피클링 스파이스 월계수 잎 
오이소박이,절임, 오이 부추 찹쌀풀 고춧가루 다진마늘 다진 생강 설탕 의 소금 멸치 액젓
깍두기,절임, 무 부추 소금 찹쌀풀 설탕 소금 다진마늘 다진생강 고춧가루 액젓
갓김치,절임, 갓 대파 부추 배 굵은소금 김치전용액젓 고춧가루 다진마늘 다진생강 통깨 
새송이버섯장아찌,절임, 새송이버섯 큰 것 양파 청양고추 홍고추 육수 물 국물멸치 다시마사방 짜리 건새우 통후추 조림장 멸치다시마육수 간장 청주 맛술 꿀 
총각김치,절임, 알타리무 소금 멸치액젓 고춧가루 마늘 생강 배 양파 홍고추 설탕 소금
