CKG_NM,CKG_MTH_ACTO_NM,CKG_MTRL_CN
전복회,회, 전복 무순 생수 초장 
연어초밥,회, 연어 슬라이스 밥 와사비 단촛물 식초 설탕 소금 소스 플레인 요구르트 양파 설탕 다진 피클 다진 실파 
참치초밥롤,회, 냉동참치 초밥 고급맛살일반 맛살로 하시려면 오이 양파 무순 겨자초절임무 당근 깻잎 김밥김 올리브유 드레싱 마요네즈 연유 딸기 소스 데리야끼소스 허브맛솔트 배합초 
부추참치샐러드,회, 부추 냉동참치 양파 파프리카 참치 밑간 허브맛솔트 맛술 드레싱 올리브유 간장 다진마늘 설탕 식초 
해삼회,회, 해삼
전복회,회, 전복 상추 초장
굴회,회, 굴 대파 청포묵 오이 당근 쑥갓 간장 겨자 설탕 식초 다진 파 깨소금 
굴회,회, 굴 무 동치미국물 간장 다진 파 다진 마늘 고춧가루 깨소금 설탕 식초 
연어초밥,회, 밥 훈제연어 와사비 촛물 식초 매실청 소금 연어밑간 청주
오징어회,회, 오징어 당근 참나물 달걀 지단 김 오징어밑간 간마늘 소금 지단에 발라야하는 고추장 
초밥,회, 채끝살 쌀 다시마 사방 고추냉이 촛물 식초 설탕 소금 맛간장
참치초밥,회, 초밥 참치 다다끼 와사비 개어놓은 것 큰술 새싹채소 적양배추싹 비타민미니채소 초간장 단촛물 소금 설탕 식초 레몬즙 작은술
홍어삼합,회, 묵은지 수육고기 홍어
참치타다키,회, 참치 물 소금 샐러드야채 후추 흑임자 참깨 올리브유 소스 계란 노른자 올리브유 후추가루 소금 겨자 레몬즙 파슬리가루 설탕 
초밥,회, 냉동새우 광어회 초밥 밥 식초 소금 고추냉이 장 간장 식초 설탕 물
방어초밥,회, 방어살 밥 초생강 식초 설탕 소금 다시다 레몬
참치김초밥,회, 참치 김 초밥 와사비
참치초밥,회, 눈다랑어블럭 초밥 와사비
연어샐러드,회, 냉장연어 샐러드채소 방울토마토 마요네즈 머스타드 양파 다진것 설탕 레몬즙 소금 후추 
죽순,회, 죽순 먹을만큼 고추장 고춧가루 식초 올리고당 마늘 깨 
훈제연어초밥,회, 훈제연어 밥 배합초 와사비분 물 배합초 비율 식초 설탕 소금 
연어초밥,회, 통연어 흰쌀밥 무순 와사비 케이퍼 홀스래디쉬소스 초밥용초대리
연어초밥,회, 훈제연어 밥 날치알 양파 고추냉이 마요네즈 다진피클 다진양파 소금 후추 단촛물
멍게손질,회, 멍게 초장
멍게초밥,회, 고슬고슬한 밥 아로니아 밥 오이 배합초 쇠비름 효소없으면 설탕으로 하세요 식초 소금 통깨 들기름 
소고기초밥케이크,회, 밥 소고기불고기감 마늘 어린잎채소 포도씨유 소고기 장 간장 매실청 대파다진 것 후춧가루 청주 양파즙 단촛물 현미식초 설탕 구운소금 
훈제연어말이,회, 훈제연어 다진양파 무순 오리엔탈드레싱 
피꼬막회,회, 피꼬막 마늘 쪽파 참기름 로시디 항암채소 올리브 겨자잎 금귤 
전복손질,회, 손질할전복 밥숟가락
광어초밥,회, 밥 회 식초 설탕 소금 
연어가르파쵸,회, 연어 다진양파 레몬피체 베이비채소 올리브오일 설탕 식초
지라시초밥,회, 식초 설탕 소금 쌀 연어 무순 계란지단 유부조림 새우 무순
연어초밥,회, 통연어 밥 양파 단촛물 식초 설탕 소금 와사비 홀스래디쉬소스
초밥,회, 원하는생선해산물 와사비 밥 배합초 환만식초 소금 설탕 레몬즙 
연어초밥,회, 생연어 무순 양파 식초 설탕 소스 마요네즈 꿀 레몬즙 다진양파 후춧가루 생와사비
연어초밥,회, 연어 양파 밥 와사비 케이퍼 초밥초 식초 설탕 소금 사과소스 사과 마요네즈 양파 설탕 레몬즙 물 
연어초밥,회, 연어슬라이스 밥 와사비 우유 무싹 초밥물 식초 설탕 소금 초밥간장 쯔유 식초 설탕 맛술 
연어초밥,회, 연어 밥 와사비 양조간장 양파 케이퍼 단촛물 식초 설탕 소금 소스 마요네즈 씨겨자 다진양파 레몬즙 설탕 홀드래디쉬소스 마요네즈 다진양파 레몬즙 설탕 소금 
연어초밥,회, 밥 횟감용 생연어 파프리카 파 양파 요리기구 토치 부탄가스 랩 생와사비 식초 설탕 소금 간장 마요네즈
물회,회, 물회육수 회 물 땅콩 깨 조미김 참기름 건포도 적채 배 깻잎 오이 초고추장 파프리카 토마토 
연어물회,회, 연어회 모둠쌈 시판용 냉면육수 양파 마늘 소면 백원짜리 동전 넓이 고추장 고춧가루 식초 설탕 물엿 후추 된장 매실 참기름 
어묵물회,회, 생수 사각어묵 참외 오이 당근 채썬 양배추 고추장 설탕 매실청 식초 다진마늘 
한치물회,회, 한치 배 무 오이 ¼ 당근 미나리 상추 고추 다진마늘 참기름 물 얼음 초고추장 듬뿍
낙지탕탕이,회, 산낙지 밀가루 소금 참기름 통깨 
회덮밥,회, 참치 상추 옥수수 고추장 사과 매실청 식초 설탕 깨 
회덮밥,회, 생선회 아무거나 양배추 깻잎 상추 양파 다진마늘 밥 대파 고추 참기름이나들기름 취향껏 초장 취향껏
초밥,회,피조개 초밥 피조개 보리밥보리 섞은 쌀 찹쌀 다시마 촛물 식초 큰 술 소금 설탕 씨겨자 초고추장 
연어샐러드,회, 훈제 연어 양상추 양파 케이퍼 간장레몬와사비드레싱 간장 레몬즙 식초 설탕 참기름 다진마늘 통깨 연와사비 
연어초밥,회, 연어 정도 양파 다시마 쌀 밥그릇 와사비 물 식초 설탕 소금 
오징어물회,회, 오징어 상추 깻잎 당근 양파 배 다진마늘 청양고추 물얼음 초장 설탕 식초 참기름 깨
연어샐러드,회, 생연어 양상추 치커리 베이비 채소 파프리카 오이 드레싱 엑스트라버진 올리브오일 발사믹식초 올리고당 소금 후추 바질 레드페퍼
롤,회, 펜네 얇게 썬 연어 아보카도 케일생략 가능 오이 레몬 바나나 양파 요거트플레인 딸기 블루베리잼 후추 
참치마끼,회, 밥 참치 무싹 김밥김 식초 설탕 맛술 소금 고추장 다진마늘 설탕 식초 참기름 
연어샐러드,회, 동원연어콜드스모크 로즈마리앤 페퍼 양상추 잎 노랑파프리카 빨간파프리카 연어 소스 양파 작은크기 오이피클 슬라이스 당근 크림치즈 마요네즈 설탕 레몬식초 
굴회,회, 생굴 레몬즙 올리브유 쪽파
훈제연어회덮밥,회, 훈제연어 상추 양파 고추 양배추 고추장 매실청 간장 식초 다진마늘 통깨 
우럭손질,회, 우럭 
연어초밥,회, 생연어회까지 만들 양 양파 무순 와사비 쌀밥 반 배합초 설탕 가는소금 식초 타르타르 소스 마요네즈 매실액 또는 설탕 식초 피클 
연어캘리포니아롤,회, 생연어 양파 크래미 사과 오이 깻잎 쌀밥 마요네즈 식초 참기름 설탕 소금 
참치회덮밥,회, 밥 냉동 참치 무순 새싹채소 어린잎 채소 초고추장 
연어샐러드,회, 슬라이스 훈제연어 한토막 양상추 양파 무순 레몬 블랙올리브 슬라이스 케이퍼 생와사비
광어회덮밥,회, 생연어 광어 상추 깻잎 무순 날치알 레몬 초고추장 참기름 고슬고슬한 밥
연어샐러드,회, 연어 양파 어린잎채소 유자소스 발사믹소스 
멍게손질,회, 멍게
피조개손질,회, 피조개
딸기쿠키,회,딸기쿠키 박력분 버터 슈가파우더 우유 소금 딸기레진 녹차파우더 검정깨 
카르파쵸,회, 광어회 올리브유 레몬즙 맛간장 가스오부시육수 꿀 파슬리가루 어린잎 양파 설탕
문어숙회부추말이,회, 자숙 문어 부추 초장 술 깨소금 
