CKG_NM,CKG_MTH_ACTO_NM,CKG_MTRL_CN
연두부샐러드,비빔, 불리지 않은 백태 물 한천가루 소금 참깨 요구르트 꿀 소금 레몬즙 
딸기견과류샐러드,비빔, 딸기 사과 귤 샐러드채소 방울토마토 아몬드 땅콩 피스타치오 딸기소스 딸기 요구르트 꿀 레몬즙 
칠리참치롤,비빔, 칠리참치통조림 밥 오이 날치알 무순 오렌지쥬스 초밥초 식초 설탕 소금 마요네즈 
콩나물곤약비빔면,비빔, 실곤약 콩나물 당근 김밥용햄 크리미 쪽파 통깨 고추장 케찹 황설탕 요리초 진간장 다진 마늘 참기름 
훈제연어롤,비빔, 밥 오이 맛살 단무지 참치캔 김밥 김 훈제연어 슬라이스 단촛물 식초 설탕 소금 참기름 날치알 와사비 마요네즈 핫소스 레몬즙 후춧가루 마요네즈 소스 마요네즈 레몬즙 
달래콩나물밥,비빔, 콩나물 달래 당근 고춧가루 진간장 다진 마늘 깨소금 들기름 참기름 대파 다진 것 
쫄면,비빔, 쫄면 콩나물 오이 당근 적양배추 삶은 달걀 고추장 고춧가루 간장 물엿 설탕 식초 참기름 다진 마늘 과일즙 
해물콩나물밥,비빔, 불린쌀 콩나물 오징어 새우 다시마 물 장 진간장 고춧가루 참기름 통깨 다진 청양고추 다진 붉은고추 다진 대파 청주 소금 
사시미곤약쫄면,비빔, 사시미곤약분말 물 보라색천연색소 토마토 양상추 삶은계란 초고추장입맛에 맞게 조절 
김치비빔국수,비빔, 소면 김치잎 깻잎 고추장 고추가루 사이다 식초 간장 설탕 다진양파 다진마늘 참기름 
닭가슴살비빔국수,비빔, 국수 양파 노랑 파프리카 빨강 파프리카 당근 닭가슴살 소금 검은통깨 국수 간장 설탕 참기름 깨소금 마늘 후추 
콩나물쫄면,비빔, 쫄면 콩나물 오이 당근 양배추 삶은달걀 고추장 간장 고춧가루 식초 설탕 참기름 물엿 사과즙 다진마늘 청양고추 
골뱅이비빔국수,비빔, 소면 골뱅이 당근 양배추 가시 오이 양파 파프리카 참기름 통깨 과일 꿀장 고추장 고춧가루 양파 청포도 복숭아 사과 벌꿀발효 식초 꿀 간장 
날치알주먹밥,비빔, 밥 날치알 김밥용김 참치캔 참치 마요네즈 깨소금 후추 실파 밥 소금 참기름 깨소금 
달래콩나물밥,비빔, 밥 콩나물 달래 당근 고춧가루 진간장 다진마늘 깨소금 들기름 참기름 대파 다진것 
비빔국수,비빔, 통밀국수 양상추 양파 피망 당근 방울토마토 실파 땅콩 초고추장
고구마옥수수샐러드,비빔, 고구마 방울토마토 빨강 피망 파란 피망 옥수수 파슬리가루 소스 마요네즈 레몬즙 
멕시칸샐러드,비빔, 닭가슴살 토마토 양상추 양파 당근 삶은 게란 홍고추 사우전아일랜드 드레싱 마요네즈 케첩 양겨자
요구르트샐러드,비빔, 적양배추보라색 양배추 사과 크랜베리 마요네즈 메이플시럽 소금 레몬즙 요구르트 
곰돌이김밥,비빔, 밥 시판 우엉조림 당근 김 흰밥 소금 참기름 백설탕 곰얼굴부분 황설탕 소금 간장 참기름 깨소금
과일샐러드,비빔, 사과 귤 양상추 플레인 요구르트 총 식초 마요네즈 머스터드 소금 레몬즙 
딸기샐러드,비빔, 딸기 양상추 채썬 양배추 치커리 옥수수콘 플레인 요거트 꿀 레몬즙 
야채비빔밥,비빔, 가리비젓갈 밥 청국장 깻잎 상추 초고추장 참기름
꼬막비빔국수,비빔, 꼬막 당근 양배추 양파 피망 국수 샐러드채소 검은깨 초고추장 고추장 고춧가루 설탕 소금 대파 다진 마늘 깨소금 올리고당 참기름 식초 
명란젓알밥,비빔, 새싹채소 맛살 부추 김 밥 명란젓 대파다진것 다진마늘 참기름 고춧가루 깨소금 
사시미곤약쫄면,비빔, 사시미곤약분말 물 보라색천연색소 토마토 양상치 계란 삶은 것 초고추장 
바나나땅콩샐러드,비빔, 바나나 방울토마토 파인애플 양상추 땅콩피스타치오 땅콩잼 듬뿍 레몬즙 꿀 피스타치오 다진 것 
전복회덮밥,비빔, 전복 상추 깻잎 치커리 양파 당근 풋고추 등의 채소 밥 설탕 식초 다진 마늘 고추장 물엿 레몬즙 참기름 통깨 
다시마비빔국수,비빔, 다시마국수 계란 토마토 상추 고추장 진간장 고춧가루 다진 마늘 깨소금 참기름 설탕 초고추장
부추강된장비빔밥,비빔, 부추 새싹새초 돈나물 현미밥 강된장 물 집된장 양파 대파 청양고추 멸치가루 다진마늘 
제육볶음도리아,비빔, 먹다남은제육볶음 밥 모짜렐라치즈 파슬리가루
참치김밥,비빔, 참치 깻잎 김 밥 맛살 단무지 우엉 등 각각 통깨 마요네즈 참기름
새싹채소강된장비빔밥,비빔, 상추 부추 새싹채소 당근 호박 통깨 올리브유 들기름 밥 우리콩된장 손질한 멸치 물 호박 양파 고추가루 새송이버섯 마늘 표고버섯가루 두부 청양고추 
비빔라면,비빔, 라면사리 송송 썬 김치 오이채 통깨 간장 고추장 설탕 참기름 다진 파 다진마늘 
곤약비빔밥,비빔, 우무틀 회곤약 물 각종채소 게살 지단 초고추장 통깨
캘리포니아롤 ,비빔, 밥 살살 날치알 체다슬라이스치즈 단무지 크래미맛살 오이 깻잎 배합초 식초 설탕 소금 소스 마요네즈 허니머스터드 소스 
비빔라면,비빔, 라면사리 잘익은 김치 오이채 통깨 달걀 간장 고추장 설탕 참기름 다진마늘 
콘샐러드,비빔, 스위트콘 통조림 양파 청피망 작은것 홍피망 작은것 당근 마요네즈 식초 설탕 소금 후추가루 파슬리 
비빔메밀소바,비빔, 양배추 오이 양파 당근 메밀면 계란 게맛살 소스 쯔유 와사비 무 청고추 홍고추 쪽파 와사비
훈제오리초밥,비빔, 훈제오리 뜨거운밥 김밥용 김 고추냉이 머스터드 밥 식초 설탕 소금 
회덮밥,비빔, 냉동상어 상추 무순 당근채 느타리버섯 고추장 식초 레몬즙 사이다 올리고당 다진마늘 통깨 
쫄면,비빔, 라면면발만 사용 각종 야채당근깻잎오이상추양파 고추장 고춧가루 식초 설탕 매실액 다진마늘 참기름 
나물비빔밥,비빔, 밥 고사리 콩나물 계란 오이 당근 느타리버섯 묵 고추장 간마늘 간생강 양파 소금 진간장 사골육수 올리고당 설탕 참깨 사이다 
국수,비빔, 소면 신김치 레디쉬 오이 깻잎 적채 미나리 깨초장 참깨 식초 진간장 설탕 청주 멸치육수 참기름 
도토리묵말이,비빔, 도토리묵 알타리김치 오이 알타리김치 설탕 참기름 통깨 오이 단촛물 물 소금 설탕 식초 장 홍고추 청양고추 다진대파 진간장 설탕 다진 마늘 참기름 통깨 
김치비빔국수,비빔, 잘익은김치 국수 고추장 물엿 식초 사이다 참기름 깨
콩나물밥,비빔, 밥 콩나물 물 식용유 간장 고춧가루 미림 참기름 깨소금 다진마늘 다진파
육회비빔밥,비빔, 우둔살 배 설탕 청양고추 새싹 쌈야채 쌀밥 고추장 육회 장 기준 다진마늘 소금 설탕 참기름 깨소금 
참치롤,비빔, 밥 깻잎 상추 단무지 크래미 김 밥이랑 검정깨 통깨 참치 마요네즈 후추 
무밥,비빔, 채썬무 쌀 다시마 물 간장 국간장 다진파 고춧가루 참기름 깨소금 
마카로니메추리알샐러드,비빔, 마카로니 삶은메추리알 잣 호두 마요네즈 설탕 흰후추 허니머스타드소스 
골뱅이비빔면,비빔, 골뱅이 소면 오이 대파 양파 청양고추 김치 골뱅이 국물 고추장 고운 고춧가루 물엿 설탕 식초 다진 마늘 참기름 통깨 단촛물
비빔냉면,비빔, 냉면사리 무 오이 삶은 달걀 참기름 통깨 배 양파 다진 마늘 다진 생강 진간장 국간장 설탕 물엿 맛소금 포도당 구연산 참깨 고운 고춧가루 
스테이크비빔밥,비빔, 쇠고기 목심 파프리카 깻잎 새싹 비빔장 고추장 매실조청 맛술 식초 마늘 깨 고기밑간 다진마늘 간장 맛술 후추 월계수잎
