CKG_NM,CKG_MTH_ACTO_NM,CKG_MTRL_CN
오이무침,무침, 오이 소금 대파다진것 마늘 고추장 고춧가루 설탕 깨소금 식초 참기름 통깨 
달래김무침,무침, 달래 김 깨소금 참기름 간장 올리고당 
멸치무침,무침, 중멸치 잔파 진간장 다진 마늘 깨소금 참기름 고춧가루 올리고당 설탕 
풋마늘오징어무침,무침, 풋마늘 오징어 고추장 고추가루 설탕 물엿 식초 다진파 다진마늘 
골뱅이무침,무침, 골뱅이 오이 양파 당근 소면 고추장 고춧가루 다진 마늘 식초 설탕 과일즙 참기름 통깨 
상추겉절이,무침, 상추 대파 간장 고춧가루 다진 마늘 식초 설탕 참기름 깨소금 
굴생채,무침, 채썬 무 굴 양파 대파 고춧가루 간장 식초 설탕 다진마늘 소금 통깨 
오이부추무침,무침, 오이 부추 썬것 양파 고춧가루 까나리액젓 설탕 다진 마늘 통깨 굵은소금 
어묵무침,무침, 조림용어묵 조랭이떡 양배추 양상추 깻잎 오이 당근 고추장 고추가루 식초 설탕 참기름 간장 물엿 다진마늘 
코울슬로,무침, 쌈배추 작은것 노랑파프리카 빨강파프리카 초록파프리카 유기농 냉동야채 얼린것 소스 마요네즈 머스타드소스 올리브유 레몬즙 식초 꿀 설탕 소금 후추 
채소무침,무침, 상추치커리양파 등 채소 넉넉히 설탕 식초 간장 참치액 다진마늘 다진파 고춧가루 레몬즙 참기름 통깨 
도라지무침,무침, 도라지 오이 잔파 고춧가루 요리초 황설탕 통깨 참기름 마늘 소금 
콩나물야채어묵무침,무침, 야채어묵 콩나물 김밥용햄 실파 빨강파프리카 마늘 소금 참기름 식초 통깨 검은깨 
코울슬로,무침, 양배추 썬 것 옥수수캔 다진 당근 다진 피망이나 파프리카 밑간 소금 식초 설탕 후춧가루 마요네즈 올리브유 머스터드 
골뱅이무침쫄면,무침, 쫄면사리 골뱅이小 오이 당근 양배추 열무김치 삶은 계란 크래미맛살 장 고추장 고추가루 양파즙 간장 사이다 요리당 다진마늘 식초 참기름 통깨 
더덕고추장무침,무침, 더덕 고추장 고춧가루 다진파 다진 마늘 설탕 식초 올리고당 소금 깨소금 참기름 
맛살냉채,무침, 가지 맛살 작은 것 양파 소금 후춧가루 참기름 통깨 겨자냉채소스 설탕 식초 레몬즙 소금 다진 마늘 연겨자 고추기름 
전어회무침,무침, 전어 미나리 양파 당근 적채 배 풋고추 홍고추 통깨 검정깨 회 
배냉채,무침, 배 오이 게맛살 새싹채소 다진 마늘 진간장 식초 꿀 소금 참기름 
소라초무침,무침, 제주산소라 배추속여린잎 미나리 당근 양파 오이 고추장 고추가루 설탕 올리고당 진간장 양파즙 사이다 다진실파 다진마늘 생강가루 후추 통깨 참기름 
반건조오징어무침,무침, 반건조 오징어 실파 청양고추 홍고추 장 고추장 고추가루 청주 간장 식초 물엿 다진마늘 통깨 설탕 
문어초무침,무침, 문어 양파 당근 파프리카 실파 배 청양고추 깻잎 설탕 통깨 고추가루 식초 고추장 꿀 참기름 다진 마늘 
오이배김치,무침, 오이 한개 배 한개 소금 장 고춧가루 참치액젓 마늘 생강즙 소금 황설탕 현미식초 통깨 
소라무침쫄면,무침, 소라 데친 콩나물 사과 계란 오이 쫄면 굵은소금 장 고추장 고추가루 다진마늘 매실청 식초 참기름 통깨 
오이장아찌무침,무침, 오이장아찌 고추장 고춧가루 다진마늘 다진파 매실청 설탕 깨소금 참기름 
멸치무침,무침, 중 멸치 잔파 진간장 다진 마늘 깨소금 참기름 고춧가루 올리고당또는 물엿 설탕 
짜사이무침,무침, 쨔샤이 오이 양파 큼직한 것 고추기름 소금
굴무침,무침, 굴 무 나박썬 것 파 다진 것 굵은 소금 다진 마늘 다진 생강 고춧가루 참기름 설탕 진간장 
꼬막무침,무침, 꼬막 간장 다진마늘 다진파 고춧가루 진간장 참기름 깨소금
멸치고추장무침,무침, 중멸치 고추장 고춧가루 다진 마늘 맛술 설탕 물엿 참기름 통깨 
스시롤,무침, 초밥 구운 김밥 김 초밥용새우 훈제연어 아보카도 슬라이스 조각 날치알 무순 와사비 맛살샐러드 게맛살 다진 샐러리 다진 양파 마요네즈 아보카도 오이 단무지 발사믹소스 발사믹 식초 포도즙 설탕 
청경채무침,무침, 청경채 식초 고춧가루 고추장 다진파 다진마늘 설탕 간장 통깨 
콩나물맛살무침,무침, 콩나물약 맛살 큰 것약 콩나물 삶는 물 물 굵은 소금 국 간장 다진 파 다진 마늘 설탕 참기름 통깨 소금 후춧가루 
파래초무침,무침, 파래씻어서 물기 짠 상태 무 채 썬 것약 식초 설탕 물엿 국 간장 간장 다진 마늘 다진 파 통깨 무 식초 설탕 소금 
파래무침,무침, 파래 홍고추 대파 팽이버섯 간장 고추가루 설탕 다진마늘 요리술 식초 참기름 
쥐포무침,무침, 쥐포 손바닥 만한거 양파 중 당근 풋고추 간장 물엿 다진 마늘 고춧가루 설탕 식초 참기름 통깨 
조개젓갈,무침, 조개젓 대파 청양고추 통마늘 고춧가루 설탕 참기름 통깨 
굴생채,무침, 싱싱한 굴 배 장 고춧가루 간장 황설탕 다진마늘 다진생강 참기름 실파 
소고기육회,무침, 한우 설도보섭살 통마늘 다진마늘 배 중간것 다진파 통깨 간장 소금 후춧가루 잣가루 매실청 참기름 올리고당 달걀노른자 통잣 
파래김치,무침, 물파래 굵은 소금 통깨 멸치액젓 다진마늘 다진파 홍고추 청양고추 
고구마순무침,무침, 말린고구마순 대파 식용유 다진마늘 국간장 소금간 입맛에 따라 맛술 참기름 후춧가루 깨소금 
해파리냉채,무침, 해파리 오이 맛살 배 해파리 밑간 마늘 큰술 식초 설탕 소금 작은술 냉채 소스 마늘 식초 설탕 진간장 참기름 소금 
시금치무침,무침, 시금치 다듬은 것 당근 굵은 소금 조선간장 다진 마늘 다진 파 물엿 소금 통깨 참기름 후춧가루 
콩나물겨자채,무침, 콩나물 오이 맛살 배 부 새우살 토마토 잣가루 파래가루 겨자 물 소금 다진 마늘 식초 설탕 진간장 참기름 
짜사이,무침, 쨔샤이 오이 양파 큼직한 것 소금 고추기름 
미역초무침,무침, 마른 미역 오이 양파 식초 설탕 국간장 참기름 다진마늘 깨소금 
배추무침,무침, 배추속대 들깨가루 멸치액젓이나 까나리액젓 진간장 설탕 다진 마늘 고춧가루 들기름 
꼬막미나리무침,무침, 꼬막살 미나리 사과 당근 피망 대파 샐러드 채소 고추장 식초 고춧가루 설탕 다진 마늘 참기름 올리고당 
느타리버섯무침,무침, 애느타리버섯 굵은 소금 간장 다진 파 다진 마늘 설탕 고춧가루 깨소금 참기름 후춧가루 
느타리버섯무침,무침, 애느타리버섯 당근 양파 참깨 다진 마늘 설탕 식초 간장 연 겨자 참기름 
소고기육회,무침, 육회용 쇠고기 배 설탕 물 오이 잣 간장 설탕 참기름 다진마늘 깨소금 후추 
김무침,무침, 김 간장 맛술 설탕 다진 마늘 다진 파 참기름 통깨 
호두시금치된장무침,무침, 시금치 호두 굵은소금 집된장 고추장 국간장 다진파 다진마늘 참기름 깨소금 올리고당 
육회,무침, 한우 소고기 육회용 배 중간크기 계란노른자 잣 통깨 장 진간장 설탕 다진 실파 다진 마늘 깨소금 통깨 참기름 후춧가루 잣가루 소금 
고구마샐러드,무침, 고구마 중간것 쌈배추 잘게 썰은 것 빨간 피망 잘게 썰은것 양파 잘게 다진것 마요네즈 머스타드소스 맛소금 
시금치고추장무침,무침, 시금치 크게 땅콩 고추장 참기름 매실액 깨소금 마늘 물 설탕 파 
마늘쫑무침,무침, 마늘쫑 굵은소금 고추장 고춧가루 간장 물엿 설탕 다진 마늘 참기름 통깨 
오이깍두기,무침, 오이 부추 굵은소금 액젓 화인스위트 고추가루 홍고추 쪽파 대파 흰줄기만 다져서 다진마늘 다진생강 
오이지무침,무침, 시판 오이지 고춧가루 통깨 다진파 다진마늘 참기름 
오징어포무침,무침, 오징어채 간장 고추장 미림 고춧가루 설탕 물엿 마요네즈 마늘 청양고추 올리브오일 
황태주먹밥,무침, 황태포 참치 밥 고추장 다진마늘 다진파 참기름 소금 후춧가루 
깻잎수삼냉채,무침, 수삼 작은 것 대추 밤 깻잎 소금 레몬즙 꿀 
쇠고기육회,무침, 쇠고기 육회용 배 달걀 노른자 통깨 장 간장 설탕 다진마늘 다진파 참기름 깨소금 후춧가루 
상추겉절이,무침, 상추 양파 부추 샘고을 감식초 양조간장 고추가루 마늘 설탕 통깨 
오이무침,무침, 백오이 양파 작은것 부추 밑간 감식초 소금 설탕 용 고춧가루 소금 작은술 다진마늘 올리고당 참깨 샘고을 감식초 
해파리냉채,무침, 염장 해파리 오이 홍피망 게맛살 해파리 밑간 식초 설탕 소금 겨자소스 연겨자 식초 물 설탕 소금 다진 마늘 참기름 
배추된장무침,무침, 배춧잎 된장 참기름 깨소금 다진파 다진마늘 
취나물된장무침,무침, 취나물 된장 다진마늘 통깨 들기름 어슷썬 대파 
해파리냉채,무침, 염장 해파리 게맛살 양파 중간것 청오이 당근 칵테일새우 해파리 밑간 식초 설탕 맛술 마늘 겨자소스 겨자가루 식초 설탕 간장 소금 다진마늘 벌꿀 매실청 참기름 
게맛살크림치즈샌드위치,무침, 게맛살 다진 양파 다진 파 식빵 크림치즈 레몬즙 후추 
고구마줄기김치,무침, 고구마줄기 청홍고추 고추가루 마늘 양파 배 멸치액젓 통깨 소금 설탕
즉석오이무침,무침, 취청오이 큰 것 고춧가루 간장 다진 마늘 설탕 소금 참기름 통깨 
시금치무침,무침, 시금치 다진마늘 소금 들기름 통깨 
미나리무침,무침, 미나리 된장 고추장 다진마늘 참기름 통깨 
해파리냉채,무침, 해파리 새우 게맛살 오이 파프리카 양파 해파리냉채소스 참기름 식초 설탕 다진마늘
고추장아찌무침,무침, 고추장아찌 고추장 고춧가루 다진파 다진마늘 설탕 통깨 참기름 
콩나물무침,무침, 콩나물 다진파 다진 마늘 참기름 소금 통깨 고춧가루 
진미채무침,무침, 진미채 고추장 간장 조청 다진마늘 참기름 통깨 
열무된장무침,무침, 데친 열무 집된장 고추장 들기름 들깨가루 다진파 다진마늘 통깨 소금 
무말랭이무침,무침, 무말랭이 마늘 간것 다진 쪽파 고추가루 액젓 작은술 엿장 물엿 깨소금 매실청 
잔멸치무침,무침, 잔멸치 양파 실파나 쪽파 청양고추 홍고추 간장 아가베시럽 청주 다진 마늘 고춧가루 참기름 통깨 
된장고추잎무침,무침, 고추잎 된장 고추가루 다진마늘 통깨 참기름 소금 
노각무침,무침, 노각 다듬은 것 굵은 소금 고추장 고춧가루 설탕 식초 다진 마늘 다진 파 참기름 통깨 
닭겨자냉채,무침, 닭가슴살 오이 크래미맛살 양파 닭 삶는 물 굵은 소금 청주 겨자소스 식초 레몬즙 설탕 다진 마늘 연겨자 고추기름이나 참기름 소금 
김치묵무침,무침, 묵 김치 고구마 말랭이 간장 다진마늘 참기름 깨 
육회,무침, 육회 배 사과 달걀 노른자 간장 설탕 다진마늘 참기름 후추 깨 
쇠고기육회,무침, 육회용 쇠고기 배 마늘 달걀노른자 다진파 진간장 설탕 매실엑기스 깨소금 후추 참기름 
