CKG_NM,CKG_MTH_ACTO_NM,CKG_MTRL_CN
매운갈비찜,찜, 갈비 월계수잎 통마늘 후춧가루 청주 감자 양파 고춧가루 대략 간장 청량고추 통마늘 청주 설탕 생강가루 참기름 양파 파인애플 양겨자가루 
찜닭,찜, 닭 중간크기 청양고추 건고추 양파 감자 당면 대파 물 닭 밑간 생강즙 후춧가루 마늘 청주 장 설탕 간장 캬라멜소스 청양고추 후춧가루 다진마늘 참기름 
바나나찹쌀떡,찜, 찹쌀가루 찬물 바나나 중간것 옥수수전분 팥앙금 
단호박찜케익,찜, 박력쌀가루또는 박력분 호박가루 설탕 계란 우유 플레인요구르트 베이킹파우더 식용유 소금 팥설탕조림 또는 팥배기 
달걀찜,찜, 달걀 물 다시마 다진파 참기름 새우젓 고춧가루 소금 
연어계란샐러드,찜, 양상추 돈나물 계란 훈제연어 소금 아일랜드 드레싱 
떡케익,찜,찰떡 찹쌀가루 설탕 대나무가루 호박가루 체리쥬스가루 각 칼라별로 물 카스테라가루 검은콩 설기떡 멥쌀가루 설탕 물 설탕물에 졸인 검은콩 찹쌀단자 찹쌀가루 설탕 팥앙금 
돼지갈비찜,찜, 돼지갈비 당근 양파 마른표고채 물 진간장 참기름 매콤한맛 굴소스 청주 요리당 황설탕 후춧가루 다진 마늘 생강가루 
해물닭찜,찜, 닭 오징어 새우 감자 당근 양파 청양고추 다시마육수 다시마 물 녹말물 녹말가루 물 소금 후춧가루 다진마늘 참기름 장 간장 설탕 물엿 굴소스 생강즙 맛술 
뚝배기달걀찜,찜, 달걀 멸치다시마 육수 다진 양파 다진 당근 다진 대파 멸치다시마 육수 국물용 멸치 다시마 물 새우젓 소금 후춧가루 참기름 고춧가루 청주 
샌드,찜, 멥쌀가루 쑥 물 소금 멥쌀가루 청콩가루 쑥가루 소금 물 팥앙금
전자렌지찹쌀떡,찜, 시판 찹쌀가루 물 설탕 녹말가루 딸기액기스 
고구마만주,찜, 찐고구마 카스테라빵 계피가루 밥수저로는 팥앙금 
아귀찜,찜, 아귀 콩나물 미나리깻잎고추 대파 콩나물 삶은국물 찹쌀가루또는 녹말가루 참기름 통깨 소금 고춧가루 고추장 국간장 청주 마늘 설탕 
닭고기완자,찜, 닭가슴살 옥수수통조림 파프리카 닭가슴살 밑간 술 후춧가루 카레가루 생강가루 대파 계란 녹말가루 소금 카레가루 후추 
돼지갈비찜,찜, 돼지갈비 청양고추 붉은고추 고기삶는물 물 월계수잎 마늘 청주 통후추 간장 다진 마늘 간 양파 간 키위 갈은 배 설탕 물엿 맛술 굴소스 참기름 후춧가루 
어묵,찜, 흰살냉동생선 새우껍질깐것 밀가루 피망 파프리카 소금 맛술 후추 
뚝배기달걀찜,찜, 물이나 다시마육수 달걀 대파 새우젓 소금 설탕 맛술 
피자만두,찜, 만두피 새송이 양파 큰거 아스파라거스 피망 햄 베이컨 피자치즈 슬라이스치즈 식용유 고구마나 감자큰거 케찹 피자소스 허브솔트 
안동찜닭,찜, 닭 감자 양파 당근 건표고버섯 대파 네모난 당면 생강 마른고추 참기름 유기농 후추 소금 캐러멜시럽 물 자이로과당설탕 대체가능 각각 장 진간장 고춧가루 청주 생강즙 물엿 설탕 참기름 유기농 흑후추 마늘 멸치다시마물 
돼지갈비,찜, 돼지갈비 멸치다시마육수 부 감자 양파 당근 불린 당면 대파 돼지고기 삶는 물 물 월계수 잎 인스턴트 커피 마늘 양파 사과 고춧가루 간장 청주 다진 마늘 설탕 물엿 다진 생강이나 가루 소금 후춧가루 통후추 
새우샐러드,찜, 새우 양상추 치커리 붉은피망 샐러드 채소 레몬즙 화이트와인 소금 이탈리안 드레싱 올리브유 다진양파 다진피클 레몬즙 식초 설탕 바질 소금 후춧가루 
고구마찜케이크,찜, 고구마 박력분 베이킹파우더 달걀 우유 설탕 꿀 포도씨유 또는 녹인버터 검은깨 
야채치즈계란찜,찜, 계란 당근 목이버섯 브로콜리 게맛살 피자치즈 전분 밥수저로 깍아서 파슬리가루 참기름 구운소금 후추 
떡갈비찜,찜, 돼지갈비 절편 밤 무 당근 간장 설탕 다진파 다진 마늘 참기름 깨소금 후추 
사과쨈,찜, 사과 설탕 레몬즙 
고구마돼지갈비찜,찜, 흑돼지갈비 고구마 양파 당근 마른표고 물 진간장 참기름 매콤한 맛 굴소스 황설탕 올리고당 청주 마늘 생강가루 깨소금 
오븐계란찜,찜, 유정란 다시마물 실파 홍고추 햄 맛살 청주 소금 
찐빵,찜,빵반죽 박력분 강력분 따뜻한 우유 이스트 버터 설탕 소금 베이킹파우더 찐빵 피자 속 피자치즈 피자소스 양파 버섯 소고기간것 식용유 허브솔트 마늘 팥찐빵 속 팥앙금 소고기 간장 설탕 후추 술 
밥새우깻잎찜,찜, 깻잎 밥새우 다시멸치 국간장 물 고춧가루 쪽파 다진 마늘 설탕 깨소금 
콩나물미더덕찜,찜, 미더덕 콩나물 대파 고춧가루 소금 입맛에 맞게 맛술 다진 마늘 녹말가루 물 후춧가루 참기름 
샤오마이,찜, 돼지고기 새우 왕 만두피 작은 만두피 양파 중간 사이즈 다진 쪽파 청주 다진 마늘 생강가루 후춧가루 굴 소스 소금 
토마토소스홍합찜,찜, 홍합 토마토 중 다진 양파 페퍼론치노나 마른 고추 올리브오일 마늘 후춧가루 바질 토마토소스 화이트와인 버터 
굴만두,찜, 굴 두부 돼지고기다짐 김치 파다짐 새송이버섯 계란 만두피 소금 후추 통깨 참기름 
쇼콜라케이크,찜, 초콜릿 버터 계란노른자 우유 계란흰자 설탕 초코핫케익믹스 럼주 슈가파우더 
단호박떡케익,찜, 멥쌀가루 단호박 찐 것 단호박가루 설탕 소금 물 대추 호박씨 단호박양갱 녹차양갱 단호박젤리 한천가루 설탕 물 단호박 찐 것 
무만두,찜, 중간크기 무 닭안심살 당근 부추 표고버섯 양파 계란 노른자 무 밑간 소금 닭안심살 밑간 소금 후춧가루 생강술 씩 만두 소 밑간 소금 후춧가루 다진 마늘 설탕 참기름 작은술
고기만두,찜, 배추 돼지고기 다짐육 당근 당면 두부 데친숙주 부추 계란 대파 다진마늘 소금 만두피 돼지고기 허브맛솔트 참기름 다진마늘 
소갈비찜,찜, 소갈비 갈비 삶는 대파잎 통후추 통마늘 생강 물 잠길정도 고명 밤 무 대추 당근 은행 잣 간장 설탕 청주 다진마늘 배즙 양파즙 후추 참기름 물엿 
표고버섯돼지갈비찜,찜, 돼지갈비 양파 마른표고버섯 썰어둔것 당근 청주 멸치다시마육수 참기름 진간장 청주 마늘 설탕 올리고당 생강가루 작은술 후춧가루 
자반고등어찜,찜, 고등어 중간 사이즈 채소양파대파등 고등어 밑간 청주 마늘대파소스 마늘 대파 홍고추나 홍피망 간장 청주 맛술 물엿 후춧가루 
대하콩나물찜,찜, 대하 굵은 콩나물 쑥갓 물 녹말물 부 대파 풋고추 홍고추 장 고춧가루 간장 다진마늘 양파즙 참기름 맛술 소금 
대구찜,찜, 대구또는 생태 소금 곤이 대파 청고추 홍고추 다진마늘 고춧가루 멸치육수 국간장
김치만두,찜, 김치 숙주 두부 꼭 짠것 당면 돼지고기갈은 것 쇠고기 갈은 것 시판 만두피 돼지고기 다진마늘 소금 후추 참기름 청주 다진파 다진마늘 달걀 깨소금 소금 후추 참기름
달걀찜밥,찜, 찬밥 달걀 양파 당근 대파 다시마 물 물 다시마 참기름 새우젓 고춧가루 소금 
돼지등갈비찜,찜, 돼지등갈비 무 당근 은행 파채 물 등갈비 삶는 향신채 대파잎 대파뿌리 녹차잎 배 사과 양파 생강 간장 청주 다진마늘 매실엑기스 후추 참기름 물엿 
명란젓찜,찜, 무 명란젓 다시마 물 새우젓 파 다진 마늘 맛술 후춧가루 참기름 고춧가루 
안동찜닭,찜, 닭 감자中 당근 청양고추 불린당면 물 포도씨유 다진마늘 소금 후춧가루 장 간장 설탕 물엿 맛술 참기름 
약밥,찜, 찹쌀 캘리포니아건포도 밤 대추 잣 호두 약밥물 대추씨 우린물 간장 참기름 유기농흑설탕 유기농황설탕 소금 계피가루 
호박고구마밥,찜, 쌀 물 호박고구마 
안동찜닭,찜, 닭 감자 당근 고추 당면 물 양파 볶음 밑간 포도씨유 다진 마늘 소금 후추 장 간장 설탕 물엿 맛술 참기름 
간장닭찜,찜, 닭 당근 감자 홍고추 청고추 대파 닭 밑간 소금 후춧가루 맛술 진간장 다진 마늘 맛술 생강즙 흑설탕 후춧가루 참기름 무 양파즙 에 들어가는 무 양파즙 무 배 양파 
두부계란찜,찜, 부드러운 두부 계란 유정란 멸치다시마물 당근 청피망 채소 실고추 새우젓 
삼겹살김치찜,찜, 삼겹살 잘 익은 신김치 멸치다시마육수 다진마늘 양파 들기름 대파 황설탕 고춧가루 후춧가루
찹스테이크단호박찜,찜, 한우안심 홍파프리카 노란파프리카 양파 통마늘 파슬리가루 단호박 소고기밑간 적포도주 포도씨오일 소금 후추 소스 바베큐소스 케첩 핫소스 굴소스 올리고당 후추 
고등어김치찜,찜, 고등어 신김치 양파 홍고추 청고추 대파 멸치다시마육수 국간장 고춧가루 설탕 청주 참기름 생강가루 마늘 후춧가루 
찜닭,찜, 닭 감자 당근 양파 파 생강 마늘 청양 고추 건고추 간장 국간장 맛술 설탕 물엿 굴소스 후추 참기름 통깨 닭육수 당면 청주 
조기찜,찜, 굴비 조선간장 청주 설탕 다진 마늘 다진 파 참기름 후춧가루 생강가루 홍고추 
매운돼지등갈비찜,찜, 돼지등갈비 감자 작은것 당근 양파 중 떡 대파 물 참기름 통깨 데칠물 물 청주 통후추 월계수 잎 장 사과 중 마늘 생강 간장 참치액 흑설탕 청주 물엿 고춧가루 후춧가루 
꼬막찜,찜, 꼬막 소금물 넉넉하게 간장 고춧가루 설탕 다진마늘 다진파 참기름 깨소금 
브로콜리달걀찜,찜, 달걀 데친 브로콜리 다진 양파 크레미맛살큰 것 우유 소금 후춧가루 
고구마초코볼,찜, 고구마中 건포도 초콜릿 아몬드 땅콩 꿀 소금 
매운갈비찜,찜, 돼지갈비 감자 당근 양파 물 고춧가루 진간장 다진마늘 다진 청양고추 설탕 물엿 양파즙 키위즙 맛술 참기름 소금 후춧가루 
계란찜,찜, 계란 양파 대파 마늘 물 새우젓 
돼지갈비김치찜,찜, 돼지갈비 신김치 감자 풋 고추 김칫국물 물 고추장 고춧가루 양조간장 양파 청주 다진파 다진 마늘 후추 
매운찜닭,찜, 닭 감자 고추 불린당면 물 양파 대파 다진 마늘 고춧가루 소금 후추 맛술 간장 설탕 물엿 맛술 참기름 
새우젓달걀찜,찜, 달걀 물 대파나 쪽파 청양고추 새우젓 후춧가루 달걀 설탕 
파프리카컵샐러드,찜, 고구마 감자 옥수수 파프리카 마요네즈 후추 소금 케찹 머스타드
