CKG_NM,CKG_MTH_ACTO_NM,CKG_MTRL_CN
토마토스파게티,볶음, 파스타면 토마토 토마토 페이스트 양파 다진마늘 피망 올리브유 
뚝배기해물떡볶이,볶음, 떡볶이떡 당근 파 양파 양배추 어묵 오징어 새우 조갯살 홍합살 장 고춧가루 고추장 물엿 간장 참기름 다진 마늘 깨 후추가루 
오징어볶음우동,볶음, 오징어 양파 대파 당근 청고추 홍고추 고추장 고춧가루 다진 마늘 참기름 설탕 간장 청주 후추 소금 
어묵볶음,볶음, 어묵 포도씨유 꽈리고추 양파 느타리버섯 대파 물 간장 물 설탕 물엿 굴소스 고춧가루 마늘 후춧가루 통깨 
소고기크림치즈오븐스파게티,볶음, 배추김치 김밥 속에 넣었던 소고기 체다치즈 스파게티 국수 모짜렐라 치즈 헤비위핑크림 
파스타,볶음, 앤젤헤어 파스타 명란 마늘 다진것 우메보시 참기름 시칠미 
쏘야볶음,볶음, 후랑크소세지 파프리카 양파 큰것 당근 대파 올리브유 굴소스 케찹 설탕 후춧가루 
짜장떡볶이,볶음, 떡볶이떡 정도 양파 양배추 큰것 대파 어묵 쫄면 정도 물 또는 육수 다다소고기맛 조미료 춘장 고추장 설탕 다진마늘 
깻잎떡볶이,볶음, 떡볶이떡 어묵 양파작은거 양배추 깻잎 물국대접 고추장 고추가루 찹쌀엿 다시다 소금 
김치볶음밥,볶음, 밥 김치 어묵 계란 파슬리 설탕 굴소스 통깨 들기름 
샐러드오므라이스,볶음, 찬 밥 양파 닭살 계란 식용유 물 샐러드 채소 데이브스 고메 파스타소스 멜린다 핫소스 소금 후추 호두아몬드 드레싱 
어묵볶음,볶음, 어묵 길쭉한것 돼지호박 풋고추 홍고추 양파 통마늘 식용유 진간장 소금 고춧가루 생강맛술 설탕 물엿또는 올리고당 후춧가루 깨소금 참기름 대파 
해물볶음라면,볶음, 라면사리 새우 오징어 양파 당근 콩나물 홍고추 청고추 대파 다진마늘 다진생강 포도씨유 간장 굴소스 고춧가루 설탕 참기름 비린내제거용 소금 후춧가루 맛술 
